4,8,3,5
8,4,3,1
6,6,5,3
6,6,3,1
8,8,3,1
8,8,3,5
8,8,7,5
16,4,7,1
4,16,3,9
12,6,3,1
12,6,11,3
6,12,3,1
6,12,5,9
12,8,11,5
24,4,11,1
4,24,3,13
8,12,3,1
10,10,9,7
10,10,3,1
6,18,3,1
18,6,17,3
4,32,3,17
8,16,7,5
8,16,7,13
8,16,7,9
8,16,3,9
8,16,3,1
32,4,15,1
16,8,11,1
16,8,7,1
16,8,15,5
16,8,3,1
16,8,7,5
24,6,15,1
24,6,23,3
6,24,3,1
6,24,5,9
12,12,3,1
12,12,11,9
40,4,19,1
20,8,19,5
4,40,3,21
8,20,3,1
30,6,9,1
30,6,29,3
6,30,3,1
6,30,5,21
48,4,23,1
24,8,11,1
24,8,11,5
24,8,23,5
16,12,7,1
4,48,3,25
12,16,11,9
8,24,3,13
8,24,3,1
8,24,7,13
14,14,3,1
14,14,13,11
10,20,9,17
20,10,3,1
20,10,19,7
10,20,3,1
6,36,3,1
12,18,3,1
18,12,17,9
36,6,35,3
8,28,3,1
4,56,3,29
56,4,27,1
28,8,27,5
6,42,3,1
42,6,27,1
42,6,41,3
6,42,5,15
8,32,3,17
8,32,3,1
16,16,7,5
16,16,7,13
4,64,3,33
16,16,3,1
16,16,15,5
16,16,15,13
16,16,7,1
16,16,7,9
8,32,7,17
16,16,15,9
16,16,11,1
16,16,3,9
16,16,11,9
32,8,31,5
32,8,15,5
32,8,15,1
64,4,31,1
4,72,3,37
72,4,35,1
48,6,47,3
48,6,15,1
12,24,3,13
12,24,11,13
12,24,11,9
24,12,11,9
24,12,23,9
24,12,11,1
24,12,15,1
24,12,3,1
6,48,3,1
6,48,5,33
8,36,3,1
12,24,3,1
12,24,11,21
36,8,35,5
30,10,29,7
10,30,9,7
30,10,23,1
10,30,3,1
40,8,19,1
40,8,19,5
40,8,39,5
80,4,39,1
8,40,3,1
8,40,3,21
8,40,7,21
16,20,7,1
20,16,19,9
4,80,3,41
6,54,3,1
18,18,17,15
18,18,3,1
54,6,53,3
44,8,43,5
4,88,3,45
88,4,43,1
8,44,3,1
60,6,59,3
60,6,39,1
30,12,29,9
30,12,9,1
12,30,11,21
12,30,3,1
6,60,5,21
6,60,3,1
48,8,11,1
48,8,35,1
48,8,23,1
48,8,23,5
48,8,47,5
32,12,15,1
24,16,11,9
24,16,23,9
24,16,11,1
24,16,23,5
24,16,23,13
96,4,47,1
16,24,3,1
16,24,11,1
16,24,15,13
16,24,7,1
16,24,7,13
12,32,11,17
8,48,3,1
8,48,3,25
8,48,7,25
8,48,7,13
8,48,7,37
4,96,3,49
28,14,3,1
28,14,27,11
14,28,3,1
14,28,13,25
66,6,65,3
66,6,21,1
6,66,3,1
6,66,5,45
10,40,3,1
10,40,9,17
20,20,19,17
20,20,3,1
40,10,23,1
40,10,39,7
104,4,51,1
52,8,51,5
4,104,3,53
8,52,3,1
72,6,71,3
24,18,15,1
36,12,35,9
6,72,3,1
18,24,17,9
12,36,3,1
4,112,3,57
8,56,3,29
8,56,3,1
8,56,7,29
28,16,27,9
56,8,55,5
56,8,27,5
56,8,27,1
112,4,55,1
16,28,7,1
78,6,77,3
6,78,3,1
78,6,51,1
6,78,5,27
4,120,3,61
8,60,3,1
12,40,11,21
20,24,19,13
120,4,59,1
24,20,11,1
60,8,59,5
40,12,19,1
22,22,21,19
22,22,3,1
50,10,49,7
10,50,3,1
6,84,5,57
6,84,3,1
12,42,11,15
12,42,3,1
42,12,27,1
42,12,41,9
84,6,27,1
84,6,83,3
4,128,3,65
8,64,7,33
8,64,3,33
8,64,3,1
16,32,15,13
16,32,15,29
16,32,7,17
16,32,7,1
16,32,15,17
16,32,11,17
16,32,11,1
16,32,3,17
16,32,3,1
128,4,63,1
32,16,15,13
64,8,31,1
64,8,31,5
64,8,63,5
32,16,19,1
32,16,3,1
32,16,15,9
32,16,31,9
32,16,15,1
32,16,15,5
32,16,31,5
32,16,31,13
90,6,89,3
30,18,9,1
6,90,3,1
18,30,17,21
136,4,67,1
8,68,3,1
68,8,67,5
4,136,3,69
72,8,35,1
72,8,35,5
72,8,71,5
16,36,7,1
144,4,71,1
96,6,63,1
96,6,95,3
48,12,23,9
48,12,47,9
48,12,23,1
48,12,15,1
48,12,39,1
24,24,11,9
24,24,23,9
24,24,23,21
24,24,23,13
6,96,5,33
6,96,3,1
4,144,3,73
12,48,3,25
12,48,3,1
24,24,11,13
24,24,3,1
24,24,3,13
24,24,15,1
8,72,7,37
8,72,3,37
8,72,3,1
12,48,11,25
12,48,11,33
36,16,35,9
12,48,11,9
24,24,11,1
24,24,15,13
24,24,11,21
14,42,13,25
14,42,3,1
42,14,17,1
42,14,41,11
10,60,3,1
10,60,9,37
20,30,3,1
20,30,19,7
30,20,23,1
30,20,29,17
60,10,23,1
60,10,59,7
152,4,75,1
76,8,75,5
8,76,3,1
4,152,3,77
102,6,33,1
102,6,101,3
6,102,3,1
6,102,5,69
160,4,79,1
80,8,39,1
80,8,19,1
80,8,79,5
80,8,59,1
40,16,19,1
40,16,19,9
40,16,39,9
20,32,19,17
16,40,3,1
16,40,11,1
16,40,7,1
80,8,39,5
8,80,3,1
8,80,3,41
8,80,7,41
8,80,7,21
8,80,7,61
40,16,39,5
40,16,39,13
32,20,15,1
16,40,7,21
4,160,3,81
16,40,15,21
36,18,3,1
36,18,35,15
54,12,53,9
108,6,107,3
18,36,3,1
6,108,3,1
12,54,3,1
18,36,17,33
28,24,27,13
4,168,3,85
168,4,83,1
84,8,83,5
24,28,11,1
12,56,11,29
8,84,3,1
56,12,27,1
26,26,25,23
26,26,3,1
6,114,5,39
6,114,3,1
114,6,113,3
114,6,75,1
10,70,9,57
70,10,13,1
70,10,69,7
10,70,3,1
176,4,87,1
4,176,3,89
44,16,43,9
88,8,43,5
88,8,43,1
88,8,87,5
8,88,3,45
8,88,7,45
16,44,7,1
8,88,3,1
120,6,119,3
120,6,39,1
60,12,59,9
60,12,39,1
30,24,29,9
30,24,9,1
6,120,5,81
6,120,3,1
24,30,23,21
12,60,3,1
12,60,11,21
24,30,15,1
184,4,91,1
92,8,91,5
8,92,3,1
4,184,3,93
126,6,125,3
6,126,3,1
18,42,17,15
42,18,27,1
4,192,3,97
12,64,11,33
16,48,7,37
16,48,7,13
16,48,7,25
16,48,7,1
16,48,15,37
16,48,15,13
16,48,15,25
16,48,11,25
16,48,11,1
16,48,3,25
16,48,3,1
24,32,11,17
24,32,11,1
24,32,23,17
8,96,7,49
8,96,3,49
8,96,3,1
192,4,95,1
48,16,23,9
48,16,47,9
48,16,11,1
48,16,23,1
48,16,23,5
48,16,23,13
48,16,47,13
32,24,15,13
32,24,31,13
32,24,15,1
96,8,47,1
96,8,47,5
96,8,95,5
64,12,31,1
48,16,11,9
48,16,35,9
48,16,35,1
48,16,47,5
14,56,13,25
14,56,3,1
28,28,27,25
56,14,31,1
56,14,55,11
28,28,3,1
66,12,21,1
12,66,3,1
132,6,131,3
132,6,87,1
12,66,11,45
6,132,3,1
6,132,5,45
66,12,65,9
40,20,39,17
40,20,19,17
40,20,3,1
40,20,19,1
40,20,23,1
80,10,63,1
80,10,79,7
100,8,99,5
200,4,99,1
20,40,3,1
20,40,3,21
20,40,19,37
20,40,19,21
20,40,19,17
10,80,9,17
10,80,3,1
4,200,3,101
8,100,3,1
138,6,137,3
138,6,45,1
6,138,3,1
6,138,5,93
104,8,103,5
52,16,51,9
4,208,3,105
104,8,51,1
8,104,7,53
8,104,3,1
8,104,3,53
16,52,7,1
104,8,51,5
208,4,103,1
6,144,3,1
8,108,3,1
36,24,35,13
12,72,11,37
