Size,IsPolytopal
AbstractRotaryPolytope([ 17, 34 ], "((s2^-1*s1)^3*s1*s2^-1)^2*s1, s1^-1*s2*s1^8*s2*s1^-1*(s1^-1*s2)^2, s2*s1^-1*s2^-2*s1^3*s2^-1*s1^-1*s2^2*s1^-1, s2^2*s1*s2^-1*s1^4*s2^3*s1^-1")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "s1^-2*s2^-1*s1^5*s2^2*s1^-1*s2")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "(s2^-1*s1^3*s2^-2*s1*s2^-1)^2*s1, s1^-1*s2*s1^8*s2*s1^-1*s2^2*s1^-2, s1*s2^2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1*s2^-1")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^2*s2*s1^-1*s2^-1*s1^2*s2*s1^-2*s2^-1*s1*s2, s2^2*(s1*s2^-1*s1)^2*s2^2*s1^-2")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-2*s2*s1^4*s2^-1*s1^2*s2*s1^-2, s2*s1^-1*s2*s1^5*s2*s1^-1*s2^-1*s1*s2^2")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "s1^-1*s2*s1^-1*(s2^-1*s1)^2*s1*s2*s1^-1*s2^-1*s1*s2*s1^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1*s2^-2*s1^4*s2*s1^-3*s2^2")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "(s1*s2^-1*s1^-1*s2^2*s1)^2, s2*s1^-1*s2^-1*s1^7*(s2*s1^-2)^2")#7004#true
AbstractRotaryPolytope([ 17, 34 ], "s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^2*(s1*s2^-1)^2*s1*s2*s1^-1*s2")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^10*s2^-2*s1^2*s2^-3, s1*s2*s1^-1*s2*s1^4*s2^-1*s1^-3*s2*s1, s2^2*s1*s2^-2*s1^2*s2^-1*s1*(s2*s1^-1)^2*s2")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^-2*s2*s1^5*s2^-1*s1*s2^2*s1^-2, s1*s2^-1*s1^4*s2^-1*(s2^-1*s1^3)^2*s2^-1*s1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^2*(s1*s2^-1*s1)^2*s2*s1^-2*s2")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "(s2^-1*s1^-1)^2, s1^-3*s2^-3*s1^2*s2^-1*s1*s2*s1^-2*s2, (s1^-2*s2*s1*s2^-2)^2, s1*s2^-2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2^2, s1^8*s2^-2*s1^2*(s1*s2^-1)^2*s2^-1")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1*s2^-1*s1*s2^2*(s2*s1*s2^-1*s1^-1)^2*s2, s1^10*(s2^-1*s1)^2*s1^2*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^2*s1^-1*s2*s1^2*s2^-2*s1^2*s2*s1^-1")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^-1*s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s1*s2*s1^-1*s2, s1*s2^-1*s1^6*(s1^2*s2^-1)^2*s1^3, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2*s1^6*s2*s1^-1*s2^-1*s1*s2*s1^-1*s2")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^-3*s2*s1^6*s2*s1^-3*s2^-1*s1^2*s2, s1^-1*s2*s1^-1*s2^-1*(s1*s2^-1*s1)^2*s2^2*s1^-2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^11*s2^-1*s1^7*s2")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^-3*s2*s1^6*s2*s1^-3*s2^-1*s1^2*s2, s1^-1*(s1^-1*s2)^2*s1^2*(s1*s2^-1)^2*s1*s2^2, s1^12*s2^2*s1^6*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#7004#true
AbstractRotaryPolytope([ 34, 17 ], "s1^7*s2^-1*s1*(s2^-1*s1*s2^-1)^2*s1^4*s2^2, s2*s1^-1*s2*s1^3*s2^-1*s1*s2*s1^-1")#7004#true
AbstractRotaryPolytope([ 3, 12 ], "s2^3*(s1*s2^-2)^2*s1^-1*(s2*s1^-1*s2)^9*s2^2*s1^-1*(s2*s1^-1*s2)^4*s2*s1^-1, (s2^5*s1^-1)^2")#7008#true
AbstractRotaryPolytope([ 12, 3 ], "(s2*s1^-5)^2, s2*s1^2*(s1*(s2*s1^-1)^2*s1^-1*s2^-1)^2*s1*s2*s1^-2*s2^-1*s1^3*s2*s1^-3*s2^-1*s1^-1*(s1^-2*s2)^5*s1*(s1^2*s2^-1)^3*s1^2*s2*s1^-1")#7008#true
AbstractRotaryPolytope([ 4, 12 ], "(s2*s1^-1*s2^2)^2, s2*s1*(s1*s2*s1^-1*s2^-1)^3*s1*s2*(s2*s1^-1)^10*(s1^-1*s2^-1*s1*s2)^2")#7008#true
