Size,IsPolytopal
AbstractRotaryPolytope([ 3, 6 ], "s2^-3*s1*(s2^-2*s1^-1*s2*s1^-1*s2^-1)^2*s2^-2*s1^-1*(s2*s1^-1*s2)^8*(s2*s1^-1*s2^-3*s1^-1)^4*s2*s1^-1")#5004#true
AbstractRotaryPolytope([ 6, 3 ], "s1^-3*s2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^5*s1^-1*s2*s1^-3*(s2^-1*s1^2)^8*s2^-1*s1*s2^-1*s1^-2*s2")#5004#true
RotaryManiplex([ 9, 18 ], "(s2^-1*s1^2*s2^-1)^2*s1, s1*s2^-1*s1*s2^3*s1*s2^-2*s1^-1*s2*(s2*s1*s2^-1*s1^-1)^6*s1^-1*s2^-3*s1^-1*s2^2*s1*s2^-1*s1^-1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#5004#false
RotaryManiplex([ 18, 9 ], "s1^6*s2^-3, s1^3*s2*s1^-1*s2*s1^2*s2^-1*s1^-1*(s1^-2*s2)^4*s1*(s1^2*s2^-1)^2*s1^-2*(s1^-1*s2)^2*s1^2*s2^-1*s1^-2*s2, s2^3*(s2^2*s1^-1)^2")#5004#false
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*(s2*s1^-1)^24*s2")#5008#true
AbstractRotaryPolytope([ 8, 8 ], "s2^-3*s1^-2*s2^-2*s1^4*s2^-2*s1^-2*s2^-1*s1^2*s2^-1*s1, (s1*s2^-2*s1)^2, (s1*s2^-1)^4")#5008#true
AbstractRotaryPolytope([ 8, 8 ], "(s1*s2^-2*s1)^2, (s1*s2^-1)^4, (s1*s2^-1*s1^2)^2*s1^2*s2*s1*(s1^3*s2^-1)^2*s1^-1*s2, s2*s1^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1*(s1^-1*s2^-1*s1*s2)^2*s2^2")#5008#true
AbstractRotaryPolytope([ 6, 66 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s2*s1*s2^-4*s1*s2*s1^-1*s2^-5*s1*s2^5*s1^-1*s2^-1*s1*s2^5, s2*s1^2*s2*s1^-1*(s2^-1*s1*s2*s1^-1*s2^-1*s1)^2*s2^2*s1^-1")#5016#true
AbstractRotaryPolytope([ 6, 66 ], "s1^-1*s2^-2*s1*s2^8*s1^-2*s2^4*s1^2*s2*(s2*s1^-1*s2^-1*s1)^3*s2, (s1*s2^-2)^2, s2*s1^2*s2*(s1^-1*s2*s1^-1)^2*s1^-2*(s2^-1*s1^2)^3*s2*s1^-1*s2^-1*s1*s2")#5016#true
AbstractRotaryPolytope([ 66, 6 ], "(s1*s2^-1*s1^4)^2, s1*s2^-1*s1^3*s2*s1^-2*s2^2*s1*s2^-1*s1^-2*s2*s1, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1^2, s2*s1^5*s2*s1^-13*s2^-1*s1^4*s2")#5016#true
AbstractRotaryPolytope([ 66, 6 ], "s1^-1*s2^-1*s1^2*s2*s1^-4*s2^2*s1^-5*s2^-1*s1^5*s2*s1^-1*(s1^-1*s2^-1*s1*s2)^2, (s1*s2^-1*s1)^2")#5016#true
RotaryManiplex([ 66, 66 ], "(s2^-1*s1^2*s2^-1)^15*s2^-6, s1^2*s2^2*(s2*s1^-1)^2*s2^-2*s1^-2*s2^-3*s1^2*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#5016#false
RotaryManiplex([ 66, 66 ], "(s2^-2*s1*s2^-2)^13*s1, s2^-1*s1*s2*s1^-1*(s2*s1^-2*s2^-1*s1^2)^2, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#5016#false
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1*s2^2*(s1*s2^-1)^2*(s1^-2*s2)^2*s1^-1*s2^3*s1^-1*s2^-1*s1^2, (s2^3*s1^-2)^2")#5020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1^2*s2^2*s1*s2^-1*(s1^-1*s2*s1^-1)^3*s2*s1^-1*s2*s1*s2^-1*s1^-1*s2, (s2^3*s1^-2)^2")#5020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*s1^2*s2*s1^-1*s2^-1*s1^2*s2*s1^-3*s2^-1*s1^4*s2^-1*s1^2*s2")#5020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1*s2^2*s1^2*s2^-1*s1^-2*s2*s1^-3*(s1^-1*s2)^2*s1^2*s2^-1")#5020#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^7*s1*s2*(s2*s1^-1)^10*(s1^-1*s2^-1*s1*s2)^4")#5024#true
RotaryManiplex([ 8, 8 ], "(s2*s1^2*s2)^2*s1^-1*s2^-1*(s2^-1*s1)^2*s1*(s2*s1^-1)^5*s2^-2*s1^2*s2*s1^-1*s2^-1*(s2^-1*s1)^5*s1*s2, s2^2*s1^4*s2^2")#5024#false
RotaryManiplex([ 8, 8 ], "(s2*s1^2*s2)^2*s1^-1*s2^-1*(s2^-1*s1)^2*s1*(s2*s1^-1)^5*s2^-2*s1^-2*s2*s1^-1*s2^-1*(s2^-1*s1)^5*s1*s2, s2^2*s1^4*s2^2")#5024#false
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*s2*(s2*s1^-1)^23*s1^-1*s2^-1*s1*s2")#5032#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^7*s1*s2*(s2*s1^-1)^13*(s1^-1*s2^-1*s1*s2)^2")#5032#true
RotaryManiplex([ 68, 68 ], "s1^2*s2^-1*(s2^-1*s1)^2*(s1*s2^-2)^6*s1^5*(s1*s2^-1)^2, s2*s1^2*s2^-1*s1*s2^2*s1^2*s2^2*s1^-2*s2^-1*s1*(s2^-2*s1^-2)^2*s2, s2^2*s1^4*s2^2")#5032#false
RotaryManiplex([ 148, 148 ], "s2^-36*s1*(s1*s2^-1)^3*s1*(s2^-1*s1*s2^-1)^9*s2^-2*s1, s2^-1*s1*s2^-1*(s1^-1*s2*s1^-1)^2*s2^-2*s1*s2^-1*s1^-1*s2*s1, s2^2*s1^4*s2^2")#5032#false
AbstractRotaryPolytope([ 3, 30 ], "(s2*(s2*s1^-1)^2*s2^3*s1^-1)^2, s2^6*(s2^2*s1^-1)^2*(s2^2*s1^-1*s2)^2*s1^-1")#5040#true
AbstractRotaryPolytope([ 30, 3 ], "s1^-1*s2*s1^-5*s2^-1*s1*s2^-1*s1^-2*s2*s1^5*s2^-1*s1^2*s2, s1^2*s2*s1^-2*s2*s1^6*s2^-1*s1^-3*s2*s1^5, s1*(s2*s1^-1)^2*s1^-1*s2*s1^2*(s1*s2^-1)^2*s1^-2*s2*s1^2")#5040#true
AbstractRotaryPolytope([ 4, 28 ], "s1*s2*(s2*s1*s2^-1*s1^-1)^3*(s2*s1^-1)^2*s2^2*s1*s2^-1*s1^-1*s2*s1*s2^-2*s1^-1*s2*s1, (s2*s1^-1*s2^2)^2")#5040#true
AbstractRotaryPolytope([ 28, 4 ], "(s1*s2^-1*s1^2)^2, s1*s2^2*s1*s2^-1*s1^-1*(s1^-1*s2)^2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^2*s2*s1*s2^-1*s1^-1*s2*s1")#5040#true
AbstractRotaryPolytope([ 4, 252 ], "(s2*s1^-1*s2^2)^2, s2*s1^2*s2^-1*s1*s2^2*s1^-2*s2^-1*s1*s2, s2^43*s1*s2^-8*s1*s2^4*s1*s2^-14*s1^2*s2^-4*s1*s2*s1^-1*s2^-2*s1*s2^2*s1^-1*s2^-44*s1*s2*s1^-1*s2^-2*s1*s2")#5040#true
AbstractRotaryPolytope([ 252, 4 ], "(s1*s2^-1*s1^2)^2, s1^69*s2*s1^-8*s2*s1^2*s2^-1*s1^-2*s2*s1^45, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2")#5040#true
