PetrieLength, Size
ReflexibleManiplex([ 10, 10 ], "(r2*r0)^2,r2*r1*r0*r1*r2*(r0*r1*r2*r1)^2*r2*(r0*r1)^2,(r2*r1)^4*r0*r2*(r1*r0)^4")#8#640
ReflexibleManiplex([ 20, 20 ], "((r1*r0)^2*(r1*r2)^2*r1*r0)^2,(r2*r0)^2,r2*(r1*r0)^4*(r2*r1)^4*r0,(r2*r1*r0*r1)^2*r0*r2*(r1*r2*r1*r0)^2")#8#640
ReflexibleManiplex([ 20, 20 ], "r1*r0*r1*(r0*r1*r2)^2*r1*r2*r1*(r0*r1*r2)^2,((r1*r0)^2*(r1*r2)^3)^2,(r2*r0)^2,r2*r1*r0*r1*r2*((r0*r1*r2)^2*r0*r1)^2*r0")#8#640
ReflexibleManiplex([ 46, 14 ], "(r1*r0)^3*r1*(r0*r1*r2)^6*(r0*r1)^11*r2*(r0*r1)^2*r0,(r1*r0*r1*r2)^2")#161#644
ReflexibleManiplex([ 161, 14 ], "(r0*r1)^21*r2*r0*r1*r0*r2*r1,((r1*r0)^6*r1*r2)^2,((r1*r2)^2*r0)^2")#46#644
ReflexibleManiplex([ 14, 46 ], "(r1*r0*r1*r2)^2,(r1*r2)^6*(r1*r2*r0)^7*(r1*r2)^10")#161#644
ReflexibleManiplex([ 14, 161 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^18")#46#644
ReflexibleManiplex([ 161, 46 ], "((r1*r0)^6*r1*r2*r0)^2,(r1*r2*(r1*r0)^7)^2*(r1*r0)^7,((r1*r2)^2*r0)^2")#14#644
ReflexibleManiplex([ 46, 161 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^7*(r1*r0)^15,((r1*r2)^7*r0)^2")#14#644
ReflexibleManiplex([ 18, 18 ], "(r0*r2*r1)^6,(r1*r0)^2*(r1*r2)^2*(r1*r0)^4*(r1*r2)^10,((r1*r0)^2*r2*r1*r2)^2,(r1*r2*(r1*r0)^2*r1*r2*r1*(r2*r1*r0)^2)^2")#6#648
ReflexibleManiplex([ 18, 18 ], "r1*r0*(r1*r0*r1*r2)^2*(r1*r0)^2*r1*r2*((r1*r2)^2*r1*r0)^3*r1*r2,r2*(r1*r0)^2*r1*r2*(r0*r1)^3*r0,(r2*r1*r0*r1)^2*r0*(r2*r1)^4*r0")#6#648
ReflexibleManiplex([ 54, 54 ], "r1*r0*r1*r2*(r1*r0)^3*(r1*r2)^3*(r1*r0)^5*((r1*r0)^4*(r1*r0*(r1*r2)^3)^2*(r1*r0)^4*(r1*r2)^2)^2*(r1*r0)^5,(r2*r0)^2,(r2*(r1*r0)^3)^2,(r2*r1)^2*r2*r0*r1*r2*r1*r0")#6#648
ReflexibleManiplex([ 18, 18 ], "((r0*r1)^2*r2*r0*r1)^2,(r0*r1*r2*r1)^3*r0*r1*r0*(r2*r1)^2*r0*r2*r1,(r0*r2*r1)^6,(r2*r0)^2")#6#648
ReflexibleManiplex([ 18, 18 ], "r0*(r1*r0*r2)^5*r1*r2,((r1*r0)^2*r1*r2*r1*r0)^3*(r1*r0)^2*(r1*r2)^2*r1*r0*r1*r2,r2*(r1*r0)^3*(r1*r2)^2*(r0*r1)^2*r2*(r1*r0)^3")#6#648
ReflexibleManiplex([ 18, 18 ], "(r1*r0)^3*r1*r2*(r1*r0*r2*r1*r0)^2*r1*r0*r1*r2,(r1*r0*r2*r1*r0*r1*r2*r1*r0)^2,(r1*r0*(r2*r1)^2*r2)^2,(r2*r0)^2")#6#648
ReflexibleManiplex([ 54, 54 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#648
ReflexibleManiplex([ 36, 36 ], "(r0*r1*r2)^6,(r0*r1*r2*(r1*r0)^4*r1)^3,(r1*r2)^2*(r0*r1)^2*(r0*r1*r2)^2")#6#648
ReflexibleManiplex([ 36, 36 ], "r1*r2*r1*r0*(r1*r0*r1*r2)^2*(r0*r1*r2)^2,(r2*r0)^2")#6#648
ReflexibleManiplex([ 36, 36 ], "r1*r0*(r1*r2)^2*r1*r0*r1*(r0*r1*r2)^3,(r2*r0)^2")#6#648
ReflexibleManiplex([ 81, 81 ], "(r1*r0)^2*(r2*r1)^2*r0*r2,(r2*r0)^2")#4#648
ReflexibleManiplex([ 164, 4 ], "((r1*r0)^31*r2*(r1*r0)^10)^2,(r1*r0*r1*r2)^2")#82#656
ReflexibleManiplex([ 4, 164 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^71*r2*r0")#82#656
ReflexibleManiplex([ 164, 82 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^80")#4#656
ReflexibleManiplex([ 82, 164 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#656
ReflexibleManiplex([ 30, 22 ], "(r0*r1)^3*r2*(r0*r1)^2*r0*(r1*r0*r2)^9*r1*r2,(r1*r0*r1*r2)^2")#165#660
ReflexibleManiplex([ 165, 22 ], "(r1*r0)^13*r2*(r1*r0)^2*r2,((r1*r2)^2*r0)^2")#30#660
ReflexibleManiplex([ 22, 30 ], "(r1*r0*r1*r2)^2,(r2*r1)^5*r0*r2*(r1*r2*r0)^9*r1*r0")#165#660
ReflexibleManiplex([ 22, 165 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^13*r0")#30#660
ReflexibleManiplex([ 165, 30 ], "(r1*r0)^4*r1*r2*r1*r0*r1*r2*(r1*r0)^8,((r1*r2)^2*r0)^2")#22#660
ReflexibleManiplex([ 30, 165 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^11*(r1*r0)^4")#22#660
ReflexibleManiplex([ 110, 6 ], "(r1*r0)^15*r2*r1*r0*r2*(r1*r0)^29*r2*(r1*r0)^10,(r1*r0*r1*r2)^2")#165#660
ReflexibleManiplex([ 10, 66 ], "(r1*r0*r1*r2)^2,(r1*r2)^19*(r0*r1*r2)^4*r0*(r1*r2)^10")#165#660
ReflexibleManiplex([ 165, 6 ], "(r1*r0)^43*r1*r2*(r0*r1)^11*r0*r2,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#110#660
ReflexibleManiplex([ 165, 66 ], "((r1*r0)^4*r1*r2*r0)^2,(r1*r0)^3*r1*r2*(r1*r0)^3*r1*r2*(r1*r0)^25,((r1*r2)^2*r0)^2")#10#660
ReflexibleManiplex([ 66, 10 ], "(r1*r0*r1*r2)^2,(r1*r0*r2)^4*(r1*r0)^19*r2*(r1*r0)^10")#165#660
ReflexibleManiplex([ 6, 110 ], "(r1*r0*r1*r2)^2,(r1*r2)^43*(r0*r1*r2)^2*r0*(r1*r2)^10")#165#660
ReflexibleManiplex([ 6, 165 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^53*r0")#110#660
ReflexibleManiplex([ 66, 165 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^5*(r1*r0)^27,((r1*r2)^5*r0)^2")#10#660
ReflexibleManiplex([ 165, 10 ], "(r0*r1)^14*r2*(r0*r1)^19*r2,((r1*r0)^4*r1*r2)^2,((r1*r2)^2*r0)^2")#66#660
ReflexibleManiplex([ 165, 110 ], "((r1*r0)^2*r1*r2*r0)^2,r1*r0*r1*r2*r1*r0*r1*r2*(r1*r0)^51,((r1*r2)^2*r0)^2")#6#660
ReflexibleManiplex([ 10, 165 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^4*r0*(r1*r2)^29*r0")#66#660
ReflexibleManiplex([ 110, 165 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^3*(r1*r0)^51,((r1*r2)^3*r0)^2")#6#660
ReflexibleManiplex([ 84, 8 ], "(r1*r0)^11*(r2*r1*r0)^2*r2*(r1*r0)^19*r2*(r1*r0)^10,(r1*r0*r1*r2)^2")#168#672
ReflexibleManiplex([ 168, 8 ], "((r1*r0)^3*r1*r2)^2,(r1*r0*r2*(r1*r0)^20)^2,((r1*r2)^2*r0)^2")#42#672
ReflexibleManiplex([ 168, 8 ], "(r0*r1)^3*r2*(r0*r1)^39*r2,((r1*r0)^3*r1*r2)^2,((r1*r2)^2*r0)^2")#84#672
ReflexibleManiplex([ 168, 4 ], "(r1*r0)^52*r1*r2*(r0*r1)^31*r0*r2,(r1*r0*r1*r2)^2")#168#672
ReflexibleManiplex([ 42, 8 ], "r1*(r0*r1*r2)^2*(r0*r1)^2*r2*(r0*r1)^13*r0*r2*(r1*r0)^3,(r2*(r1*r0)^2*r1)^2,(r2*r1*r2*r0*r1)^2*r2*r0*r1*r2*r1*r0,((r2*r1)^3*r0*r1)^2")#84#672
ReflexibleManiplex([ 84, 8 ], "(r1*r0)^19*r2*r1*r0*r2*r1*r0*r2,(r1*r0*(r1*r2)^3)^2,(r1*r2*(r1*r0)^2)^2,(r2*r0)^2,(r2*r1*r0*(r2*r1)^2*r0)^2")#42#672
ReflexibleManiplex([ 84, 8 ], "(r1*r2*(r1*r0)^2)^2,(r2*r0)^2,r2*r1*r0*r2*r1*(r0*r1*(r0*r1*r2)^3)^2*(r0*r1)^10*r0*r2*r1*r0,((r2*r1*r0)^2*r2*r1)^2")#21#672
ReflexibleManiplex([ 8, 84 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*r2*r1*r0*(r2*r1)^29*r2*r0*r1*r2*r0")#168#672
ReflexibleManiplex([ 8, 168 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^37")#42#672
ReflexibleManiplex([ 8, 168 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^3*r0*(r1*r2)^39*r0")#84#672
ReflexibleManiplex([ 4, 168 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^73*r2*r0")#168#672
ReflexibleManiplex([ 8, 42 ], "(r1*(r0*r1*r2)^2*r0)^2,(r1*r2*r1*r0*r1*r2)^2,(r1*r2)^15*r1*r0*r2*r1*r2*(r1*r2*r0)^2*(r1*r2)^2*r0")#84#672
ReflexibleManiplex([ 8, 84 ], "(r1*(r0*r1*r2)^2*r0)^2,(r1*r2*r1*r0*r1*r2)^2,(r1*r2)^16*(r1*r0*r2)^3*(r1*r2)^2")#42#672
ReflexibleManiplex([ 8, 84 ], "(r1*(r0*r1*r2)^2*r0)^2,(r1*r2*r1*r0*r1*r2)^2,(r1*r2)^15*(r1*r0*r2*r1*r2)^2*r1*r2*r0*r1*r2")#21#672
ReflexibleManiplex([ 42, 168 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^4*r0)^2")#8#672
ReflexibleManiplex([ 84, 168 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^4*(r1*r0)^37,((r1*r2)^4*r0)^2")#8#672
ReflexibleManiplex([ 84, 84 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#672
ReflexibleManiplex([ 168, 42 ], "((r1*r0)^3*r1*r2*r0)^2,r1*r2*(r1*r0)^4*r1*r2*(r1*r0)^36,((r1*r2)^2*r0)^2")#8#672
ReflexibleManiplex([ 168, 84 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*r1*r2*(r1*r0)^2*r1*r2*(r1*r0)^36,((r1*r2)^2*r0)^2")#8#672
ReflexibleManiplex([ 168, 168 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^82,(r2*r0)^2")#4#672
ReflexibleManiplex([ 42, 42 ], "r2*(r1*r0)^2*(r1*r2)^3*r1*r0*(r1*r2)^2*(r1*r0*(r1*r2)^2*(r1*r2*r1*r0)^4)^3*r1,r2*r1*r0*(r1*r2)^2*r0*r1*r2*(r1*r0)^2,r2*(r1*r2*r0)^3*r1*r0")#4#672
ReflexibleManiplex([ 21, 84 ], "(r2*r0)^2,(r2*(r1*r0)^3)^2,(r2*r1*r0*(r2*r1)^2)^2")#8#672
ReflexibleManiplex([ 42, 84 ], "r0*(r1*r2)^2*(r1*r0)^2*(r2*r1)^3*r0*r1*r2,(r2*r0)^2,(r2*(r1*r0)^3)^2,r2*r1*r0*(r1*r2)^2*(r1*r0)^4*r1*r2*(r1*r2*r1*r0*(r1*r2)^2*r1*r0)^2*(r1*r2)^2*r1,r2*(r1*r2*r1*r0)^2*(r2*r1*r0)^2*r2*(r1*r2*r1*r0)^2")#8#672
ReflexibleManiplex([ 84, 42 ], "(r0*r1)^3*r2*r1*r0*((r1*r2*r1*r0)^2*r1*r2)^2*r1*r0*(r1*r0*r1*r2)^2*r1*r0*r1,((r1*r0)^2*r2*r1*r0)^2,((r1*r2*r1*r0)^2*r1*r0*r2)^2,(r2*r0)^2")#8#672
ReflexibleManiplex([ 84, 21 ], "((r0*r1)^3*r2)^2,((r1*r2)^2*r1*r0*r2)^2,(r2*r0)^2,(r2*r1)^4*r0*((r1*r0*(r1*r2)^2)^2*r1*r2)^2*r1*r0*r1*r2*r1")#8#672
ReflexibleManiplex([ 84, 84 ], "r0*r1*r0*(r1*r0*r1*r2)^2*(r1*r0)^4*(r1*r0*(r1*r2)^2)^2*(r1*r0)^4*r1*r2*r1*r0*(r1*r2)^2*(r1*r0)^18*r1,r0*(r1*r0*r2)^3*r1*r2,r1*r0*(r1*r2)^2*r0*r1*r2*(r1*r0)^2*r2")#4#672
ReflexibleManiplex([ 84, 84 ], "r1*r0*(r1*r0*r1*r2)^2*r1*r0*(((r1*r0)^2*r1*r2*(r1*r0)^4)^2*(r1*r0)^9*r1*r2*(r1*r0)^3*r1*r2)^2*((r1*r0)^2*r1*r2*(r1*r0)^4)^2*(r1*r0)^5*(r1*r2)^3,r1*(r2*r1*r0)^2*r1*r0*r2")#4#672
ReflexibleManiplex([ 42, 28 ], "((r0*r1)^2*r2*r0*r1)^2,r1*r0*(r1*r2*r1*r0*(r1*r2)^2)^2*(r1*r0)^5,(r1*r0*(r2*r1)^2*r0*r1*r2)^2,(r2*r0*r1)^6,((r2*r1)^4*r0*r1*r0)^2")#6#672
ReflexibleManiplex([ 168, 14 ], "(r0*r1)^6*r2*(r0*r1)^12*r0*r2*(r1*r0)^5*r1,((r1*r0)^6*r1*r2)^2,((r1*r2)^2*r0)^2")#24#672
ReflexibleManiplex([ 28, 42 ], "((r0*r1)^3*r2*r0*r1)^2,r0*(r1*r0*r2)^5*r1*r2,(r1*r0)^2*(r1*r0*(r1*r2)^3)^2*(r1*r0)^4,((r2*r1)^3*r0)^2")#6#672
ReflexibleManiplex([ 14, 168 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^5*r0*(r1*r2)^19*r0")#24#672
ReflexibleManiplex([ 168, 24 ], "((r1*r0)^6*r1*r2*r0)^2,r1*r0*((r1*r0)^4*r1*r2)^2*(r1*r0)^13,((r1*r2)^2*r0)^2")#14#672
ReflexibleManiplex([ 24, 168 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^7*r0)^2")#14#672
ReflexibleManiplex([ 24, 168 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^9")#28#672
ReflexibleManiplex([ 12, 84 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^26*r0")#28#672
ReflexibleManiplex([ 24, 42 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^6,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^4*r0*(r1*r2)^10*r0")#56#672
ReflexibleManiplex([ 24, 84 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^6,(r1*r0*r1*r2*r1*r0*r2)^2,(r2*r1*r0)^2*r2*r1*r2*r0*(r1*r2)^9*r0*r1*r2*r1")#56#672
ReflexibleManiplex([ 12, 168 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^5*r0*(r1*r2)^23*r0")#56#672
ReflexibleManiplex([ 6, 168 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^51")#56#672
ReflexibleManiplex([ 12, 42 ], "((r1*r2)^2*r1*r0)^2,r2*r1*r0*r1*r2*(r0*r1)^2*r0*(r2*r1*r0*r1)^2*(r0*r1)^2,r2*r1*r0*(r2*r1)^4*(r0*r2*r1)^2*r0")#56#672
ReflexibleManiplex([ 28, 168 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^12*r1*r0*r1*r0")#24#672
ReflexibleManiplex([ 28, 84 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^6*r0)^2")#12#672
ReflexibleManiplex([ 56, 42 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r2)^2*((r1*r2)^2*(r1*r0)^2)^2*(r1*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^6*r0)^2")#24#672
ReflexibleManiplex([ 56, 84 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^2*(r1*r0)^2*r1*r2)^2*(r1*r0)^4,((r1*r2)^6*r0)^2")#24#672
ReflexibleManiplex([ 56, 168 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^6*(r1*r0)^21,((r1*r2)^6*r0)^2")#12#672
ReflexibleManiplex([ 56, 168 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#672
ReflexibleManiplex([ 56, 42 ], "(r1*r2)^2*(r1*r0)^4*r1*r2,(r2*r1*r0*r2*r1)^2*r2*r1*r0*r2*(r1*r2*(r1*r0)^2*r2*r1*r0)^3*r1")#12#672
ReflexibleManiplex([ 56, 21 ], "((r1*r0)^3*r1*r2*r0)^2,r1*r0*r1*r2*(r1*r0)^2*r1*r2*(r1*r2*r0)^2*r1*r0*r1*r2,((r1*r2)^2*r1*r0*r2)^2")#12#672
ReflexibleManiplex([ 24, 28 ], "(r1*r0*r1*r2)^2,r2*(r1*r2*r0)^12*r1*r2*r1")#168#672
ReflexibleManiplex([ 24, 56 ], "r0*r1*r0*r2*(r1*r0)^10*r2*r1,((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r1*r2*r0*(r1*r2)^6*(r1*r0*r2)^2*(r1*r2)^2*(r1*r2*r0)^3")#42#672
ReflexibleManiplex([ 24, 56 ], "r0*r1*r0*r2*(r1*r0)^10*r2*r1,((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r1*r2*r1*(r2*r1*r0)^2*r2*r1*r2*r0*(r1*r2)^5*(r0*r1*r2)^2*(r1*r2)^2*r0")#84#672
ReflexibleManiplex([ 12, 56 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*(r1*r0*r2)^2*r1*r0*(r2*r1)^13*(r2*r0*r1)^2*r2*r0")#168#672
ReflexibleManiplex([ 12, 56 ], "r0*r1*r0*(r1*r0*r2)^2*(r1*r0)^2*r2*r1*r2,(r1*r2)^2*r1*r0*r2*r1*r2*r0*r1*r0*(r2*r1)^2*r2,(r2*r0)^2")#42#672
ReflexibleManiplex([ 12, 56 ], "((r1*r2)^2*r1*r0*r1*r2)^2,(r2*r0)^2,r2*r1*r2*r0*r1*(r0*r1*r2)^2*(r0*r1)^2*r0,((r2*r1)^2*r0)^2*(r1*r0)^2*(r2*r1)^3*r0")#21#672
ReflexibleManiplex([ 28, 24 ], "(r1*r0*r1*r2)^2,r1*r2*(r0*r1)^2*(r0*r1*r2)^11*r0")#168#672
ReflexibleManiplex([ 56, 24 ], "((r1*r0)^3*r1*r2)^2,(r1*r0)^2*r1*r2*r0*r1*r0*r2*(r1*r0*r1*(r0*r1*r2)^2*r0)^2*(r1*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*r0*(r1*r2)^10*r0")#42#672
ReflexibleManiplex([ 56, 24 ], "((r1*r0)^3*r1*r2)^2,r1*r0*r1*(r0*r1*r2)^2*r0*r1*r0*r2*r1*r0*r1*(r0*r1*r2)^2*(r0*r1)^5*r2*r0,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*r0*(r1*r2)^10*r0")#84#672
ReflexibleManiplex([ 56, 12 ], "(r1*r0)^2*(r1*r0*r2)^4*(r1*r0*r2*(r1*r0)^10)^2,(r1*r0*r1*r2)^2")#168#672
ReflexibleManiplex([ 56, 12 ], "(r0*r1*r2)^3*(r0*r1)^4,(r1*r0*(r1*r2)^3*r1*r0)^2,(r1*(r2*r1*r0)^2*r2)^2,r2*r1*((r2*r1)^2*r0)^2*r1*r2*r1*r0*(r1*r2)^2*r0*r1")#42#672
ReflexibleManiplex([ 56, 12 ], "((r1*r0*r2)^2*r1*r0*r1*r2)^2,r2*(r1*r2*r1*r0)^3*(r2*r1)^4*r0,r2*r1*r2*(r1*r2*r1*r0)^2*(r1*r0)^3*r2*(r1*r0*r2*r1*r0)^2*r1")#21#672
ReflexibleManiplex([ 168, 24 ], "(r1*r0)^13*r2*r1*r0*r2,((r1*r2)^2*r0)^2")#28#672
ReflexibleManiplex([ 84, 12 ], "(r1*r0)^5*r1*((r0*r1)^8*r2)^2*(r0*r1)^6*r0,((r1*r0)^5*r1*r2)^2,((r1*r2)^2*r0)^2")#28#672
ReflexibleManiplex([ 42, 24 ], "(r0*r1)^8*r2*(r0*r1)^4*r0*r2*r1*r0*r1,((r1*r0)^5*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^4*r0)^2")#56#672
ReflexibleManiplex([ 84, 24 ], "((r1*r0)^5*r1*r2)^2,(r1*r0)^2*r1*r2*(r0*r1)^7*(r2*r0*r1)^2*(r0*r1)^2*r2*r0,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^4*r0)^2")#56#672
ReflexibleManiplex([ 168, 12 ], "(r0*r1)^23*r2*(r0*r1)^5*r2,((r1*r0)^5*r1*r2)^2,((r1*r2)^2*r0)^2")#56#672
ReflexibleManiplex([ 168, 6 ], "((r1*r0)^13*r2*(r1*r0)^15)^2,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#56#672
ReflexibleManiplex([ 42, 12 ], "(r0*r1)^4*(r0*r2*r1)^3*r2,((r1*r0*r2*r1*r2)^2*r1*r2*r1*r2)^3,(r1*r2*(r1*r0)^2)^2,(r2*r0)^2")#56#672
ReflexibleManiplex([ 168, 28 ], "((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^12")#24#672
ReflexibleManiplex([ 84, 28 ], "((r1*r0)^5*r1*r2*r0)^2,(r1*r0)^4*r1*r2*r1*r0*r1*r2*(r1*r0)^21,((r1*r2)^2*r0)^2")#12#672
ReflexibleManiplex([ 42, 56 ], "(r1*r0)^9*r1*r2*(r1*r0)^3*r1*r2,((r1*r0)^5*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^4*r0)^2")#24#672
ReflexibleManiplex([ 84, 56 ], "((r1*r0)^5*r1*r2*r0)^2,(r1*r0)^2*(r1*r2)^2*(r1*r2*(r1*r0)^2)^2*(r1*r0)^4,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^4*r0)^2")#24#672
ReflexibleManiplex([ 168, 56 ], "((r1*r0)^5*r1*r2*r0)^2,(r1*r0)^4*r1*r2*(r1*r0)^4*r1*r2*(r1*r0)^18,((r1*r2)^2*r0)^2")#12#672
ReflexibleManiplex([ 168, 56 ], "((r1*r0)^2*r1*r2*r0)^2,r1*r2*(r1*r0)^3*r1*r2*(r1*r0)^51,((r1*r2)^2*r0)^2")#6#672
ReflexibleManiplex([ 21, 56 ], "r1*r0*(r1*r2)^2*r1*r0*(r1*r0*r2)^2*r1*r2*r1*r0*r1*r2,(r2*r0)^2,(r2*(r1*r0)^3)^2")#12#672
ReflexibleManiplex([ 42, 56 ], "((r0*r2*r1)^4*r2*r1*r0*r2*r1)^2,((r1*r2*r0)^5*r1*r0)^2,(r1*r2)^4*(r1*r0)^3,(r2*r0)^2")#12#672
ReflexibleManiplex([ 14, 6 ], "r1*r0*(r1*r0*r1*r2)^2*r0*(r1*r0*r2)^3*r1*r0*r1*r2,(r1*r0)^2*(r2*r1)^2*r0*r2*(r1*r0)^4,(r2*r0)^2,(r2*r1*r0*r1*r2*r1)^2")#8#672
ReflexibleManiplex([ 14, 14 ], "r0*r1*(r2*r1*r0)^3*r1*r0*r2*r1*r2,((r1*r0)^3*r2*r1*r2)^2*(r1*r2)^3*r1*r0,r1*r0*((r1*r2)^3*r0*r1*r2)^2*r1*r2")#6#672
ReflexibleManiplex([ 6, 14 ], "r0*((r2*r1)^2*r0*r1)^2*(r2*r1*r0)^3*r2*r1,r1*r2*r1*(r2*r1*r0)^2*r1*r0*(r2*r1)^3*r2,(r2*(r1*r0)^2*r1)^2")#8#672
ReflexibleManiplex([ 26, 26 ], "(r0*r1*r2*r1)^2,(r1*r0*r2)^13,(r2*r0)^2")#13#676
ReflexibleManiplex([ 170, 10 ], "((r1*r0)^6*r1*r2*(r0*r1)^5*r0)^2*(r1*r0)^10,((r1*r0)^4*r1*r2)^2,((r1*r2)^2*r0)^2")#34#680
ReflexibleManiplex([ 10, 170 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^32*r0")#34#680
ReflexibleManiplex([ 170, 34 ], "((r1*r0)^4*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^28,((r1*r2)^2*r0)^2")#10#680
ReflexibleManiplex([ 34, 170 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^5*r0)^2")#10#680
ReflexibleManiplex([ 38, 18 ], "(r1*r0)^7*r1*(r0*r1*r2)^8*(r0*r1)^3*r0*r2,(r1*r0*r1*r2)^2")#171#684
ReflexibleManiplex([ 171, 18 ], "((r1*r0)^8*r1*r2)^2,r1*r2*(r0*r1)^14*r2*(r0*r1)^4*r0,((r1*r2)^2*r0)^2")#38#684
ReflexibleManiplex([ 114, 6 ], "(r1*r0)^17*r2*r1*r0*r2*(r1*r0)^29*r2*(r1*r0)^10,(r1*r0*r1*r2)^2")#57#684
ReflexibleManiplex([ 18, 38 ], "(r1*r0*r1*r2)^2,(r1*r2*r0)^9*(r1*r2)^10")#171#684
ReflexibleManiplex([ 18, 171 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^5*r0*(r1*r2)^14*r0")#38#684
ReflexibleManiplex([ 6, 114 ], "(r1*r0*r1*r2)^2,(r1*r2)^45*(r0*r1*r2)^2*r0*(r1*r2)^10")#57#684
ReflexibleManiplex([ 171, 38 ], "(r1*r0)^4*((r1*r0)^4*r1*r2)^2*(r1*r0)^5,((r1*r2)^2*r0)^2")#18#684
ReflexibleManiplex([ 38, 171 ], "(r1*r0)^10*(r1*r2)^9,((r1*r0)^2*r2)^2")#18#684
ReflexibleManiplex([ 114, 57 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^3*(r1*r0)^53,((r1*r2)^3*r0)^2")#6#684
ReflexibleManiplex([ 57, 114 ], "(r0*r1)^4*r0*((r1*r0)^2*r1*r2)^7*(r1*r2)^2*(r1*r0)^2*(r1*r2*(r1*r0)^2*r1*r2)^6*(r1*r0)^2*r1*r2*r1,r0*r1*r2*r1*r0*(r2*r1)^2*r2,(r2*r0)^2,(r2*(r1*r0)^3)^2")#6#684
ReflexibleManiplex([ 172, 4 ], "((r1*r0)^33*r2*(r1*r0)^10)^2,(r1*r0*r1*r2)^2")#86#688
