Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 56, 6 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, r0*a101*r0*a21^2*a101*r0*a21^-2*a101*r0*a101, (r0*(a21^-1*a101)^2)^2*a21^-2 ")#672#24
TwoOrbit3ManiplexClass2_0([ 28, 12 ], " r0*a21^-2*a101*r0*a101*a21^2, a21^-2*(a101*a21)^2*a21*a101*r0*a21^-1, a21^12 ")#672#12
TwoOrbit3ManiplexClass2_0([ 28, 12 ], " r0*a21^-1*(a101*r0)^2*a101*a21, r0*a101*r0*a21^-1*a101*a21^2*a101*r0*a21^-1, a21^12 ")#672#12
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, r0*a21^-1*a101*a21*r0*a21^-1*(a101*r0)^2*a101*a21 ")#672#6
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#672#6
TwoOrbit3ManiplexClass2_0([ 56, 6 ], " r0*a101*a21*(a101*r0)^3*a21^-1, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1 ")#672#24
TwoOrbit3ManiplexClass2_0([ 4, 42 ], " (r0*a21^-1*a101*a21)^2, a101*r0*a21^3*r0*a21^-2*r0*a21^-1, a21^-1*r0*a101*a21^-17*r0*a21^-3 ")#672#21
TwoOrbit3ManiplexClass2_0([ 4, 42 ], " a21^-1*a101*(a21*r0)^2*a21^-1, a21^42 ")#672#42
TwoOrbit3ManiplexClass2_0([ 12, 14 ], " (r0*a21^-1*a101*a21)^2, r0*a101*r0*a21^-1*a101*r0*a101*a21, a21^-3*a101*r0*a21^-4*a101 ")#672#21
TwoOrbit3ManiplexClass2_0([ 14, 24 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^2*a21^-1, a21^24 ")#672#24
TwoOrbit3ManiplexClass2_0([ 4, 21 ], " (r0*a21^-1*a101*a21)^2, a21^-1*a101*a21*(a21*a101)^2*r0*a21^-2, a21^21 ")#672#42
TwoOrbit3ManiplexClass2_0([ 14, 24 ], " r0*a101*r0*a21^-1*a101*a21, r0*a21^-2*a101*r0*a101*a21^2, a21^24 ")#672#24
TwoOrbit3ManiplexClass2_0([ 38, 9 ], " r0*a21^-1*(a101*r0)^2*a101*a21, a21^9, r0*a101*a21^2*r0*a101*(r0*a21^-1)^2 ")#684#18
TwoOrbit3ManiplexClass2_0([ 114, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, r0*a101*a21*(a101*r0)^7*a21^-1 ")#684#6
TwoOrbit3ManiplexClass2_0([ 38, 9 ], " r0*a21^-1*a101*r0*a101*a21, a21^9, r0*a21^-2*a101*a21^4*r0*a101*a21^-2 ")#684#18
TwoOrbit3ManiplexClass2_0([ 38, 9 ], " r0*(a101*a21)^2*r0*a21^-2, a21^9, (r0*a21^-1*a101*a21*a101)^2, r0*a101*r0*a21^-2*a101*r0*a101*a21^2 ")#684#18
TwoOrbit3ManiplexClass2_0([ 38, 9 ], " r0*a21^-2*a101*a21^2, a21^9, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^2*a21*(a101*r0)^3*a21^-1 ")#684#18
TwoOrbit3ManiplexClass2_0([ 30, 12 ], " r0*a101*r0*(a21^-1*a101)^2*r0*a21^-2, r0*a21^-2*(a101*r0)^2*a101*a21^-2 ")#720#12
TwoOrbit3ManiplexClass2_0([ 30, 12 ], " r0*a101*a21*(a101*r0)^2*a21^-1, r0*a21^-3*a101*a21^3, a21^12 ")#720#12
TwoOrbit3ManiplexClass2_0([ 30, 12 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-2*a101*a21^2*(r0*a101)^2, a21^12 ")#720#12
TwoOrbit3ManiplexClass2_0([ 10, 36 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^36 ")#720#36
TwoOrbit3ManiplexClass2_0([ 6, 40 ], " (r0*a101)^3, r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a101*a21^3*r0*a21^-1*a101*a21^-2, a21^-1*r0*a21^-11*r0*a21^-7*r0*a21^-1 ")#720#40
TwoOrbit3ManiplexClass2_0([ 90, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^7*r0*a21*r0*a21^-1*r0*a101 ")#720#36
TwoOrbit3ManiplexClass2_0([ 30, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^5*r0*a21^-1*(a101*r0)^2*a101*a21 ")#720#4
TwoOrbit3ManiplexClass2_0([ 122, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^5*a21*(a101*r0)^4*a21^-1 ")#732#6
TwoOrbit3ManiplexClass2_0([ 62, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, (r0*a101)^4*r0*a21^-1*a101*a21 ")#744#6
TwoOrbit3ManiplexClass2_0([ 62, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, a21*(a101*r0)^5*a101*a21^-1*a101 ")#744#6
TwoOrbit3ManiplexClass2_0([ 14, 27 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^2*a21^-1, a21^27 ")#756#54
TwoOrbit3ManiplexClass2_0([ 42, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^3*a21*(a101*r0)^6*a21^-1 ")#756#6
TwoOrbit3ManiplexClass2_0([ 42, 6 ], " r0*(a101*a21^-1)^2*a21^-1, a21^6, r0*a21^-1*a101*a21*r0*a101*r0*a21^-1*(a101*r0)^4*a101*a21 ")#756#3
TwoOrbit3ManiplexClass2_0([ 42, 9 ], " r0*a21^-2*a101*a21^2, a21^9, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^3*r0*a21*r0*a101*a21^-1*a101 ")#756#18
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " (r0*a101)^4, r0*a21^-1*a101*a21^-4*a101*r0*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*(a101*a21^-1)^5*a21^-1 ")#768#6
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a101)^4, (r0*a21^-1*a101*a21*a101)^2, a21^12 ")#768#12
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " (r0*a101)^4, r0*a101*r0*a21^-3*a101*a21^-3, r0*a21^-1*a101*a21*a101*r0*a101*a21*r0*a21^-1 ")#768#6
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " (r0*a101)^4, r0*a21^-1*a101*a21*a101*r0*a101*a21*r0*a21^-1 ")#768#12
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a101)^4 ")#768#6
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " (r0*a101)^4, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-1*a101*a21^-2*a101*r0*(a101*a21^-1)^2*a21^-1 ")#768#12
TwoOrbit3ManiplexClass2_0([ 24, 16 ], " (r0*a21^-1*a101)^2*a21^2, r0*a21^-3*a101*a21^-5, (r0*a101)^2*a21^-1*(a101*r0)^3*(a101*a21^-1)^2*a21^-1 ")#768#48
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " r0*a21^-1*a101*a21^2*a101*r0*a21^-1, (r0*a101)^4, r0*a21^-3*a101*r0*a101*a21^3, r0*a101*r0*a21^-1*a101*a21^-3*a101*r0*a21^-2 ")#768#12
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " (r0*a101)^4, (r0*a21^-1*a101*a21)^2, (a101*a21)^2*a21*r0*a21^-1*(a21^-1*r0)^2, a21^-1*a101*a21^-3*a101*r0*(a101*a21^-1)^2 ")#768#12
TwoOrbit3ManiplexClass2_0([ 8, 48 ], " (r0*a101)^4, (r0*a21^-1*a101)^2*a21^2, r0*a21^-3*(a21^-3*a101)^2*a21^-1*a101*a21^-2 ")#768#48
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " (r0*a101)^4, (r0*a21^-1*a101*a21)^2, a21^-1*a101*a21^-3*a101*r0*(a101*a21^-1)^2 ")#768#6
TwoOrbit3ManiplexClass2_0([ 12, 8 ], " (r0*a21^-1*a101*a21)^2, a21^8, r0*(a101*a21)^2*a21*r0*a101*r0*a21^-1, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1 ")#768#6
TwoOrbit3ManiplexClass2_0([ 12, 6 ], " r0*a21^-1*a101*a21^2*(a101*r0)^2*a21^-1, (r0*a101)^2*a21*r0*a21^-1*a101*a21^-2 ")#768#8
TwoOrbit3ManiplexClass2_0([ 12, 6 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101*r0*a21^-2)^2, r0*a21^-1*a101*a21*r0*a21^-2*a101*r0*a101*a21^2 ")#768#4
TwoOrbit3ManiplexClass2_0([ 12, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*(a101*a21^-1)^5*a21^-1, (r0*a21^-1*a101)^2*(r0*a101*a21)^2 ")#768#6
TwoOrbit3ManiplexClass2_0([ 26, 15 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^3*a21^-1, (r0*a101)^3*a21^-1*a101*a21*a101, a21^15 ")#780#30
TwoOrbit3ManiplexClass2_0([ 4, 49 ], " a101*a21^2*r0*a21^-1*a101*a21^-1, a21^49 ")#784#49
TwoOrbit3ManiplexClass2_0([ 20, 20 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^20 ")#800#20
TwoOrbit3ManiplexClass2_0([ 50, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, (r0*a101)^3*r0*a21^-1*(a101*r0)^2*a101*a21 ")#800#8
TwoOrbit3ManiplexClass2_0([ 4, 8 ], " a21^8, r0*(a21^-1*a101*a21^-1)^3*a21^-2, r0*a21^-3*a101*a21*r0*a21^-1*a101*a21^3, a101*(r0*a21)^3*a21^3*(r0*a21^-1)^2 ")#800#8
TwoOrbit3ManiplexClass2_0([ 10, 40 ], " r0*a101*r0*a21^-1*a101*a21, r0*a101*a21^2*(r0*a21^-1)^2, a21^40 ")#800#40
TwoOrbit3ManiplexClass2_0([ 10, 40 ], " r0*a21^-3*a101*a21^-5, r0*a21^-1*a101*a21^2*(a101*r0)^2*a21^-1, (a101*r0*a21*r0*a21^-1)^2, a101*a21*r0*a21^-1*a101*a21^2*r0*a21^-2 ")#800#8
TwoOrbit3ManiplexClass2_0([ 100, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^6*r0*a21^-1*a101*a21 ")#800#4
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " a21^8, r0*a21^-1*a101*r0*(a101*a21)^2*r0*a21^-1, r0*a101*a21^2*(r0*a101)^2*a21^-2 ")#800#8
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " r0*a21^-3*a101*a21^3, a21^8, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, (r0*a101)^5 ")#800#40
TwoOrbit3ManiplexClass2_0([ 20, 20 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101*r0*a21^-2)^2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a101*r0*a21^-6*a101*a21^2*r0*a21^-3*a101*a21*r0*a21^-2 ")#800#4
TwoOrbit3ManiplexClass2_0([ 20, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^10 ")#800#20
TwoOrbit3ManiplexClass2_0([ 134, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^7*a21*(a101*r0)^2*a21^-1 ")#804#6
TwoOrbit3ManiplexClass2_0([ 58, 7 ], " (a101*r0*a21*r0*a21^-1)^2, a101*a21^2*r0*a21^-2*a101*a21*r0*a21^-1 ")#812#14
TwoOrbit3ManiplexClass2_0([ 58, 7 ], " r0*a21^-2*a101*r0*a101*a21^2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1 ")#812#14
TwoOrbit3ManiplexClass2_0([ 58, 7 ], " r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a101*r0*a21^-1*(a101*a21)^2*r0*a21^-1 ")#812#14
TwoOrbit3ManiplexClass2_0([ 102, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a101*r0*a101*a21*r0*a21^-1*(a101*r0)^2 ")#816#12
TwoOrbit3ManiplexClass2_0([ 34, 12 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^3*r0*a21^-1*a101*a21, a21^12 ")#816#12
TwoOrbit3ManiplexClass2_0([ 82, 5 ], " r0*a101*r0*a21^-1*a101*a21^2*a101*r0*a21^-1 ")#820#10
TwoOrbit3ManiplexClass2_0([ 82, 5 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a101*r0*a101*a21*r0*a21^-1*(a101*r0)^2, r0*a21^-1*a101*a21*r0*(a101*a21)^2*r0*a21^-2 ")#820#10
TwoOrbit3ManiplexClass2_0([ 26, 16 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^2*r0*a21^-1*a101*r0*a101*a21, a21^16 ")#832#16
TwoOrbit3ManiplexClass2_0([ 104, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*(a21^-1*a101)^2*r0*a101*a21^-2, (r0*a101)^4*r0*a21*r0*a21^-1*r0*a101 ")#832#8
TwoOrbit3ManiplexClass2_0([ 104, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*(a21^-1*a101)^2*r0*a101*a21^-2, (r0*a101)^4*r0*a21^-1*a101*a21 ")#832#8
TwoOrbit3ManiplexClass2_0([ 52, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^5*r0*a21^-1*(a101*r0)^3*a101*a21 ")#832#4
TwoOrbit3ManiplexClass2_0([ 52, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, r0*a21^-1*(a101*r0)^4*a101*a21 ")#832#8
TwoOrbit3ManiplexClass2_0([ 52, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, r0*a21^-1*a101*a21^-2*(a101*r0)^4*a21^-1 ")#832#8
TwoOrbit3ManiplexClass2_0([ 70, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, (r0*a101)^3*a21*(a101*r0)^2*a21^-1 ")#840#30
TwoOrbit3ManiplexClass2_0([ 14, 30 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^30 ")#840#30
TwoOrbit3ManiplexClass2_0([ 14, 30 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-2*a101*a21^2, a21^30 ")#840#30
TwoOrbit3ManiplexClass2_0([ 70, 6 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, (r0*a101)^4*a21^-1*a101*r0*a21, (r0*(a21^-1*a101)^2)^2*a21^-2 ")#840#30
TwoOrbit3ManiplexClass2_0([ 106, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^6*r0*a21^-1*a101*r0*a101*a21 ")#848#4
TwoOrbit3ManiplexClass2_0([ 18, 24 ], " (r0*a101)^2*a21*a101*r0*a21^-1, (r0*a21^-1*a101)^2*a21^2, a21^24 ")#864#72
TwoOrbit3ManiplexClass2_0([ 8, 8 ], " (r0*a101)^4, a21^8, (r0*a101*a21)^2*a21*a101*r0*a21^-1 ")#864#12
TwoOrbit3ManiplexClass2_0([ 24, 8 ], " r0*a21^-2*a101*r0*a101*a21^2, a21^8, r0*(a21^-1*a101)^2*a21*r0*a101*r0*a21^-1 ")#864#12
TwoOrbit3ManiplexClass2_0([ 6, 24 ], " (r0*a101)^3, r0*a101*a21^3*r0*a21^-1*a101*a21^-2, (a21^-3*a101*r0*a21^-1)^2 ")#864#8
TwoOrbit3ManiplexClass2_0([ 8, 24 ], " (r0*a21^-1*a101*a21)^2, r0*a21^-2*a101*r0*a101*a21^2, r0*a21^-1*a101*a21^-2*a101*r0*a21^-3 ")#864#12
TwoOrbit3ManiplexClass2_0([ 36, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*a21^-2*(a101*r0)^2*a101*a21^2 ")#864#18
TwoOrbit3ManiplexClass2_0([ 6, 24 ], " (r0*a101)^3, a101*r0*a101*a21^2*r0*a21^-2, r0*a21^-1*a101*a21*r0*a101*a21*a101*r0*a21^-1, a21^24 ")#864#24
TwoOrbit3ManiplexClass2_0([ 24, 8 ], " r0*(a101*a21^-1)^3*a21^-1, a21^8, (r0*a101*r0*a21^-2)^2, r0*a21^-2*a101*a21^-4*a101*a21*r0*a21^-1 ")#864#4
TwoOrbit3ManiplexClass2_0([ 36, 12 ], " (r0*a21^-1*a101)^2*a21^2, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, a21^12, (r0*a101)^5*a21^-1*a101*a21*a101 ")#864#36
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " (r0*a101)^4, (r0*a101)^2*a21^-2*a101*a21*r0*a21^-1 ")#864#8
TwoOrbit3ManiplexClass2_0([ 6, 8 ], " (r0*a101)^3, a101*r0*a101*a21^2*r0*a21^-2, a21^8 ")#864#8
TwoOrbit3ManiplexClass2_0([ 6, 8 ], " (r0*a101)^3, a21^8, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a21*a101*r0*a21^2*a101*(r0*a21^-1)^2*a21^-1*a101 ")#864#24
TwoOrbit3ManiplexClass2_0([ 24, 8 ], " (r0*a21^-1*a101*a21)^2, a21^8, (r0*a101)^2*a21^3*a101*r0*a21^-1, a21^-3*a101*r0*a21^2*r0*a21^-3*r0 ")#864#12
TwoOrbit3ManiplexClass2_0([ 24, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, (r0*a21^-1*a101*a21)^3, (r0*a21^-1*a101)^2*(a21*a101)^2*(r0*a21^-1)^2 ")#864#8
TwoOrbit3ManiplexClass2_0([ 24, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, (r0*a21^-1*a101*a21)^3, (r0*a21^-1*a101)^2*(r0*a101*a21)^2, (r0*a101)^2*a21*(a101*r0)^3*(a21^-1*r0)^2*a21^-1 ")#864#24
TwoOrbit3ManiplexClass2_0([ 12, 8 ], " a21^8, r0*a101*r0*a21^3*r0*a101*r0*a21^-1, (r0*a21^-1*a101*a21^2)^2, (a21*r0*a21)^2*r0*a21*r0*a101*a21^2 ")#864#6
TwoOrbit3ManiplexClass2_0([ 72, 6 ], " (r0*a21^-1*a101)^2*a21^2, (r0*a101)^11*a21*a101*r0*a21^-1 ")#864#72
TwoOrbit3ManiplexClass2_0([ 8, 12 ], " (r0*a101)^4, r0*a21^-3*a101*a21^3, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, r0*(a21^-1*a101*a21^-1)^2*a101*r0*a101*a21^-2 ")#864#24
TwoOrbit3ManiplexClass2_0([ 12, 6 ], " (r0*a101)^2*a21*r0*a21^-1*a101*a21^-2, r0*a21^-1*a101*a21*r0*a101*a21^-2*a101*a21*r0*a21^-1, a101*r0*(a101*a21^-1)^2*a21^-1*r0*a21^-1*a101*a21^3 ")#864#8
TwoOrbit3ManiplexClass2_0([ 12, 3 ], " r0*a21*a101*a21^-1, (r0*a101)^6, (r0*a101*a21)^4, (r0*a101*a21*a101)^2*(r0*a101*r0*a21^-1)^2 ")#864#8
TwoOrbit3ManiplexClass2_0([ 18, 12 ], " r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, a21*a101*r0*a21^-1*a101*a21*r0*a101*a21^-1*a101*r0*a101 ")#864#18
TwoOrbit3ManiplexClass2_0([ 12, 8 ], " r0*(a101*a21^-1)^2*a21^-1, a21^8, r0*(a101*r0*a21^-1)^2*a101*a21*r0*a101*a21 ")#864#3
TwoOrbit3ManiplexClass2_0([ 146, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^8*a21*a101*r0*a21^-1 ")#876#6
TwoOrbit3ManiplexClass2_0([ 44, 10 ], " (r0*a101)^2*r0*a21^-1*a101*a21, r0*a21^-2*a101*a21^3*a101*r0*a21^-1, a21^10 ")#880#20
TwoOrbit3ManiplexClass2_0([ 110, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a21^-1*a101*r0*a21^-1)^2, (r0*a101)^9*a21*(a101*r0)^2*a21^-1 ")#880#44
TwoOrbit3ManiplexClass2_0([ 44, 10 ], " r0*a21^-2*a101*r0*a101*a21^2, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a21^10 ")#880#20
TwoOrbit3ManiplexClass2_0([ 44, 10 ], " r0*(a101*a21)^2*a21*r0*a21^-3, r0*a21^-1*a101*a21^2*(a101*r0)^2*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a21^10 ")#880#20
TwoOrbit3ManiplexClass2_0([ 44, 10 ], " r0*a101*r0*a21^-2*a101*a21^2, (r0*a101)^3*a21*a101*r0*a21^-1, a21^10 ")#880#20
TwoOrbit3ManiplexClass2_0([ 10, 44 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^44 ")#880#44
TwoOrbit3ManiplexClass2_0([ 22, 20 ], " r0*(a101*a21)^2*r0*a21^-2, r0*a101*r0*a21^-2*a101*a21^2, a21^20 ")#880#20
TwoOrbit3ManiplexClass2_0([ 22, 20 ], " r0*a21^-1*a101*r0*a101*a21, r0*a21^-2*a101*a21^2*(r0*a101)^2, a21^20 ")#880#20
TwoOrbit3ManiplexClass2_0([ 22, 20 ], " r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a21^-1*(a101*r0)^2*a101*a21, a21^20 ")#880#20
TwoOrbit3ManiplexClass2_0([ 22, 20 ], " (r0*a101)^2*a21*a101*r0*a21^-1, r0*a101*r0*a21^-2*a101*a21^2, a21^20 ")#880#20
TwoOrbit3ManiplexClass2_0([ 74, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, (r0*a101)^2*r0*a21^-1*(a101*r0)^3*a101*a21 ")#888#6
TwoOrbit3ManiplexClass2_0([ 74, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^3*a21*(a101*r0)^4*a21^-1 ")#888#6
TwoOrbit3ManiplexClass2_0([ 4, 14 ], " (r0*a21^-1*a101*a21)^2, r0*a21^-2*a101*a21^2*(a21*r0)^2*a21^-2, a21^14 ")#896#28
TwoOrbit3ManiplexClass2_0([ 4, 28 ], " (r0*a21^-1*a101*a21)^2, a21^-1*a101*a21*(a21*a101)^2*r0*a21^-2, a21^28 ")#896#28
TwoOrbit3ManiplexClass2_0([ 4, 56 ], " (r0*a21^-1*a101*a21)^2, a101*r0*a21^3*r0*a21^-2*r0*a21^-1, a21^-23*(r0*a21^-2)^2*a21^-1*a101 ")#896#56
TwoOrbit3ManiplexClass2_0([ 4, 56 ], " a101*a21^2*r0*a21^-1*a101*a21^-1, a21^56 ")#896#56
TwoOrbit3ManiplexClass2_0([ 4, 28 ], " (r0*a21^-1*a101*a21)^2, r0*a21^-2*a101*a21^2*(a21*r0)^2*a21^-2, r0*a21^-6*a101*a21^-8 ")#896#14
TwoOrbit3ManiplexClass2_0([ 76, 6 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a21^-2*a101)^2*a21^-2, a101*a21*r0*a21^-1*(a101*r0)^2*a21^-1*r0*a101*r0*a21*r0 ")#912#12
TwoOrbit3ManiplexClass2_0([ 38, 12 ], " r0*(a21^-1*a101)^2*a21^3*r0*a21^-1, (r0*a101)^2*a21^-1*a101*a21^2*r0*a21^-1, (r0*a101)^2*r0*a21^-1*a101*r0*a101*a21, a21^12 ")#912#12
TwoOrbit3ManiplexClass2_0([ 76, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*a101*r0*(a101*r0*a21^-1)^2*a101*a21^2, r0*a21^-2*(a101*r0)^3*a101*a21^2 ")#912#12
TwoOrbit3ManiplexClass2_0([ 76, 6 ], " r0*(a101*a21^-1)^2*a21^-1, a21^6, r0*a21^-1*a101*a21*(r0*a101)^2*r0*a21^-1*(a101*r0)^4*a101*a21 ")#912#3
TwoOrbit3ManiplexClass2_0([ 38, 12 ], " r0*a21^-2*a101*a21^2, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^3*a21*(a101*r0)^2*a21^-1, a21^12 ")#912#12
TwoOrbit3ManiplexClass2_0([ 76, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^4*a21*(a101*r0)^6*a21^-1 ")#912#6
TwoOrbit3ManiplexClass2_0([ 14, 33 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^2*a21^-1, a21^33 ")#924#66
TwoOrbit3ManiplexClass2_0([ 116, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*a101*r0*a101*a21*r0*a101*r0*a21^-1*(a101*r0)^4*a101*a21 ")#928#4
TwoOrbit3ManiplexClass2_0([ 58, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, (r0*a101)^4*r0*a21^-1*a101*r0*a101*a21 ")#928#8
TwoOrbit3ManiplexClass2_0([ 78, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^2*a21*(a101*r0)^5*a21^-1 ")#936#6
TwoOrbit3ManiplexClass2_0([ 26, 18 ], " r0*a21^-2*a101*a21^2, (r0*a101)^3*r0*a21^-1*a101*a21, a21^18 ")#936#18
