Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a101*r0*a21^-2*a101*a21^2 ")#336#12
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a21^-1*(a101*r0)^2*a101*a21, (r0*a21^-2*a101)^2*a21^-2 ")#336#12
TwoOrbit3ManiplexClass2_0([ 14, 12 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^12 ")#336#12
TwoOrbit3ManiplexClass2_0([ 28, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#336#6
TwoOrbit3ManiplexClass2_0([ 4, 21 ], " a21^-1*a101*(a21*r0)^2*a21^-1, a21^21 ")#336#21
TwoOrbit3ManiplexClass2_0([ 14, 12 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-2*a101*a21^2, a21^12 ")#336#12
TwoOrbit3ManiplexClass2_0([ 30, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a101*a21*r0*a21^-1*(a101*r0)^2*a21^-1*r0*a21^-1*a101 ")#360#4
TwoOrbit3ManiplexClass2_0([ 62, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, r0*a101*a21*(a101*r0)^5*a21^-1 ")#372#6
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a101)^4, (r0*a21^-1*a101*a21*a101)^2 ")#384#6
TwoOrbit3ManiplexClass2_0([ 10, 20 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101*a21*r0*a21^-1)^2, a101*r0*a21^-3*(a101*r0)^2*a21^-1 ")#400#4
TwoOrbit3ManiplexClass2_0([ 10, 20 ], " r0*a101*r0*a21^-1*a101*a21, r0*a101*a21^2*(r0*a21^-1)^2, a21^20 ")#400#20
TwoOrbit3ManiplexClass2_0([ 50, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^2*r0*a21^-1*(a101*r0)^3*a101*a21 ")#400#4
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " a21^8, (a101*r0*a21^-1)^2*a21^-1*a101*a21^-1 ")#400#8
TwoOrbit3ManiplexClass2_0([ 10, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^5 ")#400#20
TwoOrbit3ManiplexClass2_0([ 52, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*(a101*r0)^4*a101*a21 ")#416#4
TwoOrbit3ManiplexClass2_0([ 26, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, r0*a101*r0*a21^-1*(a101*r0)^2*a101*a21 ")#416#8
TwoOrbit3ManiplexClass2_0([ 14, 15 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^15 ")#420#30
TwoOrbit3ManiplexClass2_0([ 36, 6 ], " (r0*a21^-1*a101)^2*r0*a101*r0*a21^-1, ((r0*a21)^2*a21)^2 ")#432#9
TwoOrbit3ManiplexClass2_0([ 36, 6 ], " (r0*a21^-1*a101)^2*a21^2, (r0*a101)^5*a21*a101*r0*a21^-1 ")#432#36
TwoOrbit3ManiplexClass2_0([ 6, 24 ], " (r0*a101)^3, a101*r0*a101*a21^2*r0*a21^-2, r0*a21^-1*a101*a21*r0*a101*a21*a101*r0*a21^-1, (a21^-5*a101)^2*a21^-1*a101*a21^-1 ")#432#24
TwoOrbit3ManiplexClass2_0([ 6, 8 ], " (r0*a101)^3, r0*a21^-1*a101*a21^2*a101*r0*a21^-1, a21^8, a101*a21*r0*a21^-1*(a21^-1*a101)^3*a21^-1 ")#432#8
TwoOrbit3ManiplexClass2_0([ 18, 12 ], " r0*a101*a21*(a101*r0)^2*a21^-1, (r0*a21^-1*a101)^2*a21^2, a21^12 ")#432#36
TwoOrbit3ManiplexClass2_0([ 18, 12 ], " r0*a21^-4*a101*a21^2*r0*a21^-1, r0*a21*(a21^2*r0)^2*a101*a21 ")#432#9
TwoOrbit3ManiplexClass2_0([ 22, 10 ], " (r0*a101)^2*a21*a101*r0*a21^-1, r0*a101*r0*a21^-2*a101*a21^2, a21^10 ")#440#10
TwoOrbit3ManiplexClass2_0([ 22, 10 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^10 ")#440#10
TwoOrbit3ManiplexClass2_0([ 22, 10 ], " r0*a101*r0*a21^-1*a101*a21, a21^-1*a101*a21^4*r0*a21^-3, a21^10 ")#440#10
TwoOrbit3ManiplexClass2_0([ 22, 10 ], " r0*(a101*a21)^2*r0*a21^-2, r0*a101*r0*a21^-2*a101*a21^2, a21^10 ")#440#10
TwoOrbit3ManiplexClass2_0([ 74, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^3*a21*(a101*r0)^4*a21^-1 ")#444#6
TwoOrbit3ManiplexClass2_0([ 4, 28 ], " (r0*a21^-1*a101*a21)^2, a101*r0*a21^3*r0*a21^-2*r0*a21^-1, a21^-7*(a21^-2*r0)^2*a21^-3*a101 ")#448#28
TwoOrbit3ManiplexClass2_0([ 4, 28 ], " a21^-1*a101*(a21*r0)^2*a21^-1, a21^28 ")#448#28
TwoOrbit3ManiplexClass2_0([ 4, 14 ], " (r0*a21^-1*a101*a21)^2, a21^-1*a101*a21*(a21*a101)^2*r0*a21^-2, a21^14 ")#448#14
TwoOrbit3ManiplexClass2_0([ 38, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, r0*a101*r0*a21^-1*(a101*r0)^2*a101*a21 ")#456#6
TwoOrbit3ManiplexClass2_0([ 38, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^2*a21*(a101*r0)^3*a21^-1 ")#456#6
TwoOrbit3ManiplexClass2_0([ 58, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*a101*a21*r0*a21^-1*(a101*r0)^3*a101*a21 ")#464#4
TwoOrbit3ManiplexClass2_0([ 78, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^2*a21*(a101*r0)^5*a21^-1 ")#468#6
TwoOrbit3ManiplexClass2_0([ 26, 9 ], " r0*a21^-2*a101*a21^2, a21^9, (r0*a101)^3*r0*a21^-1*a101*a21 ")#468#18
TwoOrbit3ManiplexClass2_0([ 4, 15 ], " (r0*a21^-1*a101*a21)^2, a101*a21^3*r0*a21^-2*a101*a21^-1, a21^15 ")#480#15
TwoOrbit3ManiplexClass2_0([ 20, 12 ], " r0*a101*a21^2*r0*a101*a21^-2, r0*a21^-1*(a101*r0)^2*a101*a21, a21^12 ")#480#12
TwoOrbit3ManiplexClass2_0([ 60, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#480#12
TwoOrbit3ManiplexClass2_0([ 20, 12 ], " r0*(a101*a21)^2*r0*a21^-2, a21^-1*a101*r0*a21^-4*a101*a21^-1 ")#480#12
TwoOrbit3ManiplexClass2_0([ 30, 8 ], " r0*a101*a21*(a101*r0)^2*a21^-1, r0*a21^-3*a101*a21^3, a21^8 ")#480#24
TwoOrbit3ManiplexClass2_0([ 10, 24 ], " r0*a101*r0*a21^-1*a101*a21, r0*a101*a21^2*(r0*a21^-1)^2, a21^24 ")#480#24
TwoOrbit3ManiplexClass2_0([ 42, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, (r0*a101)^3*r0*a21^-1*a101*a21 ")#504#6
TwoOrbit3ManiplexClass2_0([ 14, 18 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-2*a101*a21^2, a21^18 ")#504#18
TwoOrbit3ManiplexClass2_0([ 42, 6 ], " r0*a21^-1*a101*r0*a101*a21, a21^6 ")#504#6
TwoOrbit3ManiplexClass2_0([ 14, 18 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^2*a21^-1, a21^18 ")#504#18
