Size,IsPolytopal
AbstractRotaryPolytope([ 24, 6 ], "(s1*s2^-1*s1^2*s2^-1)^2*s1^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*s1^2*s2^-2*s1*s2*s1^-3*s2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "(s1*s2^-1*s1)^2, s2*s1^2*(s2^2*s1^-1)^2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-1*s1*s2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "s2*(s1*s2^-1*s1^2)^2*s2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "s1^-2*s2^-1*s1^5*s2*s1^-1*s2^2, (s1*s2^-1*s1^4)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*(s1^2*s2^-1)^2*s1^-2*(s1^-1*s2)^2")#2016#true
RotaryManiplex([ 24, 6 ], "(s1*s2^-2)^2, s1*(s1*s2^-1)^2*s1^5*s2^-1*s1^-2*s2*s1^4, (s1^4*s2^-1)^3, s1^10*s2^2*s1^-1*s2^-1*s1, s1^3*s2*s1^-2*s2*s1^3*s2^-1*s1^-2*(s1^-1*s2)^2")#2016#false
AbstractRotaryPolytope([ 12, 12 ], "(s1^-1*s2*s1^-2)^2*s2^4, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2")#2016#true
AbstractRotaryPolytope([ 12, 12 ], "s1^-1*s2*s1^-1*s2^-1*(s2^-3*s1^-1*s2*s1^-1)^2*s2^-2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2, s2*s1^-1*s2*(s1^-2*s2*s1^-1)^2*s1^-1, s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#2016#true
AbstractRotaryPolytope([ 12, 12 ], "(s2^-2*s1*s2^-2)^2*s1^2, s1^2*s2^-2*(s1^-1*s2)^2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2*s1*s2^-1*s1*s2^4*s1^-1*s2^-3*s1^-2*s2^-2*s1*s2, s2^2*s1^5*s2^2*s1^-1")#2016#true
AbstractRotaryPolytope([ 12, 12 ], "s1*s2^-1*s1*s2^2*(s1^-1*s2^2*s1*s2^-1)^2*s2^-1, s2*s1^-3*s2^5*s1^-3, s2^2*s1^3*s2^-1*s1*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2016#true
AbstractRotaryPolytope([ 8, 28 ], "s1^2*s2*s1^-2*s2*s1^4*s2^-2, s1^2*s2*s1^-1*s2^2*s1^4*s2^-1*s1, s2^7*s1*s2^-1*s1*s2*(s2*s1^-1*s2^-1*s1)^2*s2")#2016#true
AbstractRotaryPolytope([ 28, 8 ], "s2^-1*s1*s2^4*s1*s2^-3*s1^2, (s1*s2^-1*s1^2)^2, s1*s2*s1^-1*s2*s1^6*(s1*s2^-1*s1^-1*s2)^2*s1^2, s2*s1^-1*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1^-2")#2016#true
AbstractRotaryPolytope([ 8, 56 ], "s2^-1*s1^3*s2^-1*s1^-2*(s2^-1*s1)^2*s1, (s1*s2^-1)^4, s2*s1^2*s2^3*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-2*s1*s2*s1^-1*s2^-3*s1*s2")#2016#true
AbstractRotaryPolytope([ 56, 8 ], "(s1*s2^-1)^4, s1^2*s2^-1*s1^4*s2^-1*s1*s2^2*s1, s2*s1^-5*s2^-1*s1^3*s2^-1*s1^-3*s2^-1*s1^3")#2016#true
RotaryManiplex([ 9, 36 ], "(s2^-1*s1^2*s2^-1)^2*s1, s1*s2^-4*s1*s2^2*s1*s2^-4, s2*s1^-2*s2^-1*s1*(s2^-1*s1*s2^2*s1^-1*s2^-1)^2*s2^-1*s1*s2, s2*s1^4*s2*s1^-2")#2016#false
