Size,IsPolytopal
AbstractRotaryPolytope([ 14, 35 ], "s1^2*s2^2*s1^5*s2^-2*s1^-1*s2*s1^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#6020#true
AbstractRotaryPolytope([ 14, 35 ], "s1^2*s2^2*s1^5*s2^-1*s1^-1*s2*s1*s2^-1*s1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#6020#true
AbstractRotaryPolytope([ 14, 35 ], "(s1*s2^-2*s1^4)^2, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#6020#true
AbstractRotaryPolytope([ 35, 14 ], "s1^-1*s2^-1*s1^2*s2*s1^-1*(s1^-2*s2)^2*s1^-1, (s1*s2^-1*s1^-1*s2^2*s1)^2")#6020#true
AbstractRotaryPolytope([ 35, 14 ], "(s1*s2^-1*s1^5)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2^2*s1^-1*s2*s1^2*s2^-2*s1^-1*s2*s1, s2*s1^2*s2*(s1^-1*s2*s1^-1)^2*s2^-1*s1*s2*s1^-2")#6020#true
AbstractRotaryPolytope([ 35, 14 ], "(s1*s2^-1*s1^5)^2, s1^2*s2^2*s1^4*s2^-1*s1^-4*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-1)^3*s2*s1^3*s2*s1^-1*s2")#6020#true
RotaryManiplex([ 35, 70 ], "s2*s1^2*s2^-1*s1^3*s2*s1^-2*s2*s1^-1, s2^2*s1^-1*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2")#6020#false
RotaryManiplex([ 35, 70 ], "s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-1*s2*s1, s1^-1*s2*s1*s2^-1*s1^5*s2*s1^-5*s2^-1")#6020#false
RotaryManiplex([ 35, 70 ], "s1^-2*s2*s1^3*s2^-1*s1*s2^2, s1*s2^-1*s1^-1*s2*s1^4*s2^-1*s1^-4*s2")#6020#false
RotaryManiplex([ 70, 35 ], "s1^-1*s2*s1^3*s2^-4*s1^-1*s2^3*s1^-1, (s1^4*s2^-2)^3*s1*s2^-1*s1^6*(s1*s2^-2)^2*s1^3, s2^3*s1^4*s2*s1^-1*s2^-1*s1*s2")#6020#false
RotaryManiplex([ 70, 35 ], "(s2^-5*s1*s2^-1)^2*s1^5*((s1*s2^-1)^2*s2^-3)^2*s1*s2^-1, s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2^2*s1^7*s2*s1^-1*s2^3")#6020#false
RotaryManiplex([ 70, 35 ], "s1^-1*(s1^-1*s2^2)^2*s1^-6*(s1^-1*s2)^3*s1^-16, s1^-1*s2*s1^4*s2^-2*s1*s2*s1^-4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1*s2^-2*s1^2*s2*s1^-1*s2^2")#6020#false
AbstractRotaryPolytope([ 4, 4 ], "s1^2*(s2^2*s1^-2)^3*s2*(s2*s1^-1)^23*s1^-1*s2^2")#6032#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^9*(s2^-1*s1)^8*(s1*s2*s1^-1*s2^-1)^5*s1*s2")#6032#true
AbstractRotaryPolytope([ 4, 52 ], "s1^2*s2^2*s1^-1*(s1^-1*s2)^2*s2*s1^-2*s2^2*(s1*s2^-1)^5*s1^-2*s2^2, s1*s2^2*s1*s2^-6*s1^-1*s2^6*s1*s2^-1*s1^-1*((s2*s1*s2^-1*s1^-1)^2*s2)^2*s1*s2^-1, (s2*s1^-1*s2^2)^2")#6032#true
AbstractRotaryPolytope([ 52, 4 ], "(s1*s2^-1*s1^2)^2, s1*s2^2*(s1*s2^-1)^2*s1^-2*s2*s1*(s1*s2^-1)^2*s1^2*s2*s1^-1*s2*(s2*s1*s2^-1*s1^-1)^2*s2*s1, s2*s1^2*s2*s1^-4*s2*s1^2*s2^-1*s1^-11*s2^-1*s1^2*s2*s1^-1*(s1^-1*s2^-1*s1*s2)^2")#6032#true
AbstractRotaryPolytope([ 4, 116 ], "s1^2*s2*(s2*s1^-1)^2*s1^-1*s2^2*s1^-2*s2^-1*s1*s2^-2*s1^-2*s2^2, (s2*s1^-1*s2^2)^2, s2^3*s1*s2^-8*s1*s2*s1^-1*s2^-2*s1^2*s2^-4*s1*s2*s1^-1*(s2^-1*s1*s2*s1^-1*s2^-1)^2*s2^-1*s1^2*s2^-5*(s2^-4*s1^2)^3*s2^-9*s1*s2*(s2*s1^-1*s2^-1*s1)^2*s2")#6032#true
AbstractRotaryPolytope([ 116, 4 ], "(s1*s2^-1*s1^2)^2, s1^31*s2*s1^-8*s2*s1*s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-2*s2*s1^12, s1*s2^2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2")#6032#true
RotaryManiplex([ 52, 52 ], "s2*s1*(s1*s2^-1)^2*s1*s2^2*s1^-2*s2^-1*s1*s2^2*s1^2*s2^2*s1^-1, s2^2*s1^4*s2^2")#6032#false
RotaryManiplex([ 116, 116 ], "s2^-1*s1^-2*s2*s1^-2*(s2^-1*s1)^2*s2^-1*s1^-2*s2^-1, s2^2*s1^4*s2^2")#6032#false
AbstractRotaryPolytope([ 10, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1*s2^-1*s1^-3*s2^-2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2^2*s1*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-4)^2")#6040#true
AbstractRotaryPolytope([ 10, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1^2*(s1*s2^-1)^3*s1^2*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-4)^2")#6040#true
