Size,IsPolytopal
AbstractRotaryPolytope([ 6, 393 ], "s1^-1*s2*s1*(s1*s2^-1)^2*s1^-1*s2*s1^2*s2^-1*s1^3*s2, (s1*s2^-2)^2, s2^3*s1^-1*s2^-39*s1^-1*s2^4*s1^-1*s2^-1*s1*s2^3*s1^-2*s2^15*s1^-1*s2^-11*s1^-1*s2^8*s1^-1*s2^-1*s1*s2^40*s1^-2*s2^4*s1^-1*s2^-1*s1*s2")#11004#true
AbstractRotaryPolytope([ 393, 6 ], "s1^-70*s2^-1*s1^4*s2*s1^-1*s2^-1*s1*s2*s1^-3*s2^2*s1^-52, s1*s2^-3*(s1^-1*s2^2)^2*s1*s2^-1*s1^-1*s2*s1*s2^-1, (s1*s2^-1*s1)^2")#11004#true
RotaryManiplex([ 393, 786 ], "(s2^-1*s1^2*s2^-1)^98*s1, s1^-2*s2^3*s1*s2^-2*s1*s2^-1, s2*s1^4*s2*s1^-2")#11004#false
RotaryManiplex([ 786, 393 ], "s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-1*s2*s1, s1^-201*s2*(s2*s1^-1)^2*s2^2*s1^-185, s2*s1^-1*s2^-1*s1^4*s2^2*s1^-1")#11004#false
RotaryManiplex([ 16, 688 ], "(s1*s2^-1*s1^2)^2, s1*s2*s1^-1*s2*s1^3*s2^-1*s1^-2*s2*s1, s2*s1*s2^-74*s1*s2^11*s1^-1*s2^-6*s1*s2*s1^-1*s2^-4*s1*s2^71*s1^-1*s2^-3*s1*s2")#11008#false
RotaryManiplex([ 688, 16 ], "(s1*s2^-1*s1^2)^2, s1^86*s2*s1^-10*s2*s1*s2^-1*s1^-1*s2*s1^74, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2^4*s1*s2^-2*s1^-1*s2*s1*s2^-1, (s2*s1^-1)^4")#11008#false
RotaryManiplex([ 688, 688 ], "s1^90*s2^-2*s1^2*(s1*s2^-1)^2*s2^-2*s1^72, s1*s2*s1^-1*s2*s1^3*s2^-1*s1^-2*s2*s1, s1*s2^4*s1*s2^-2*s1^-1*s2*s1*s2^-1, s2^2*s1^4*s2^-1*s1*s2*s1^-3")#11008#false
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^7*s1*s2*(s2*s1^-1)^27*s1^-1*s2^-1*s1*s2")#11016#true
AbstractRotaryPolytope([ 6, 306 ], "s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s2*s1^-1*s2*s1^2*s2^-1*s1^2*s2*s1^-1, s2^37*s1^-1*s2^-2*s1^-1*s2*s1^-1*s2^-3*s1*s2^2*s1^-1*s2^-2*s1*s2^4*s1^-1*s2^-5*s1*s2*s1^-1*s2^-6*s1*s2*s1^-1*s2^-37*s1*s2")#11016#true
AbstractRotaryPolytope([ 306, 6 ], "(s1*s2^-1*s1^2*s2^-1)^2*s1^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^51*s2^-1*s1^-8*s2*s1*s2^-1*s1^-4*s2*s1^38, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2^2*(s1*s2^-1)^2*s1*s2^2*s1^-1")#11016#true
