Size,IsPolytopal
AbstractRotaryPolytope([ 3, 6 ], "(s2^2*s1^-1)^3*s2^2*s1*s2^-2*(s1^-1*s2)^2*(s2^2*s1^-1)^4")#1008#true
AbstractRotaryPolytope([ 6, 3 ], "s2*s1^-3*s2*(s1^-1*s2*s1^-1)^2*s1^-2*(s2^-1*s1^2)^5*s2*s1^-1")#1008#true
AbstractRotaryPolytope([ 3, 12 ], "s2^12, (s2^2*s1^-1*s2^2)^3, s2*s1^-1*s2^-3*s1*s2^-3*(s1^-1*s2)^2*s2^2*s1^-1*s2")#1008#true
AbstractRotaryPolytope([ 12, 3 ], "s1^12, (s1^4*s2^-1)^3, s1^3*s2*s1^-2*s2*s1^3*s2^-1*s1^-2*(s1^-1*s2)^2, s1^-1*(s1^-1*s2)^2*s1^5*s2^-1*s1^-2*s2*s1^-4")#1008#true
AbstractRotaryPolytope([ 6, 12 ], "s1*s2^-1*s1*s2^2*s1^2*s2^-3, s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2*s1^-1*(s2*s1^-1*s2)^2*s2*s1^-1")#1008#true
AbstractRotaryPolytope([ 6, 12 ], "s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2, s1*s2*(s2*s1^-1)^2*s2*s1*s2^-1*s1^2*s2^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1")#1008#true
AbstractRotaryPolytope([ 6, 12 ], "(s1*s2^-2)^2,s1*s2^-11*s1*s2, s2*s1*(s1^2*s2^-1)^2*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#1008#true
AbstractRotaryPolytope([ 6, 12 ], "s1^-1*s2^-1*s1^2*s2^-2*s1^-3*s2, s2^3*s1^2*s2^-1*s1^2*s2^2, s1*(s2*s1^-1*s2^2)^2*(s1*s2^-1*s1^-1*s2)^2*s1")#1008#true
AbstractRotaryPolytope([ 12, 6 ], "(s1*s2^-1*s1)^2, s2^6,s2*s1^2*(s2^2*s1^-1)^2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-1*s1*s2")#1008#true
AbstractRotaryPolytope([ 12, 6 ], "(s1^2*s2^-1*s1)^2*s2^2, s1^12")#1008#true
AbstractRotaryPolytope([ 12, 6 ], "(s2*s1^-5)^2, s2*s1^-1*s2*(s1^-2*s2*s1^-1)^2*s1^-1, s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^12")#1008#true
AbstractRotaryPolytope([ 12, 6 ], "s2*s1^-1*s2^-1*s1^4*s2^2*s1^-1,s1^2*s2^-1*s1*s2^2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2")#1008#true
RotaryManiplex([ 9, 18 ], "s2*s1^4*s2*s1^-2, (s2^-1*s1^2*s2^-1)^2*s1, s2^3*s1^2*s2^-1*s1^2*s2^2, s2*s1^2*(s2^2*s1^-1)^2*(s2^-2*s1)^2*s2*s1^-1*s2^-1*s1*s2")#1008#false
RotaryManiplex([ 12, 12 ], "s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2, (s2^-1*s1^2*s2^-1)^3, s2*s1*s2^-1*s1*(s2^-2*s1^-2)^2*s2^3*s1^2*s2")#1008#false
RotaryManiplex([ 12, 12 ], "s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2*s1^-1*(s1^-2*s2)^2*s1^-1*s2*s1^-2, s1^12")#1008#false
RotaryManiplex([ 12, 12 ], "s1*s2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1, (s2*s1^-5)^2, s1^12")#1008#false
RotaryManiplex([ 12, 12 ], "s2^3*s1*s2^-2*s1*s2, s2^2*s1^5*s2^2*s1^-1, (s2^-2*s1*s2^-2)^2*s1^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2")#1008#false
RotaryManiplex([ 18, 9 ], "s2^3*(s2^2*s1^-1)^2, s1^6*s2^-3, s2*s1^3*s2*s1^-3*s2^-1*s1^3*s2*s1^-2*s2^-1*s1^2*s2*s1^-1")#1008#false
RotaryManiplex([ 18, 36 ], "s1^-2*s2*s1^3*s2^-1*s1*s2^2, s2^2*s1^5*s2^2*s1^-1, (s2^-2*s1*s2^-2)^3*s1^3")#1008#false
RotaryManiplex([ 18, 36 ], "s2^2*s1^3*s2^-1*s1*s2*s1^-2, s2^2*s1^-1*s2*s1^2*s2^-2*s1*s2, s2*s1^7*s2*s1^-5, (s2^-1*s1^5*s2^-1)^2*s1^4")#1008#false
RotaryManiplex([ 36, 18 ], "s2*s1^-1*s2^-1*s1^2*s2^-1*s1*s2*s1^-2, s2*s1^-1*s2^3*s1*s2^-2*s1^2, s1^-1*s2^-1*s1^6*s2*s1^-5, s1^3*s2^-6*s1*(s2^-1*s1*s2^-2)^2")#1008#false
RotaryManiplex([ 36, 18 ], "s1^-2*s2*s1^3*s2^-1*s1*s2^2, s2^2*s1^5*s2^2*s1^-1, s2*(s2^2*s1^-1)^3*s2*s1^-2*(s1^-1*s2)^2*s1^-1")#1008#false
RotaryManiplex([ 36, 36 ], "s2*s1^4*s2*s1^-2, s1*s2^3*s1*s2^-1*s1^-1*s2*s1*s2^-1, (s2^-1*s1^2*s2^-1)^9")#1008#false
RotaryManiplex([ 36, 36 ], "s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2, s1^-1*s2*s1^2*s2^-1*s1^2*s2^2*s1^-1, s1^36")#1008#false
RotaryManiplex([ 56, 56 ], "s2*s1^-1*s2*s1^2*s2^-1*s1*s2, s2^2*s1^5*s2*s1^-1*s2, (s1^2*s2^-2)^4*(s1*s2^-2)^3*s1*s2^-1*s1")#1008#false
RotaryManiplex([ 63, 63 ], "s1*s2*s1^-2*s2*s1^2*s2^-1, s1^2*s2^2*s1^-1*s2*s1^2, (s2^-1*s1*s2^-2)^15*s1^3")#1008#false
AbstractRotaryPolytope([ 11, 22 ], "s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2^2*s1^-3*(s1^-2*s2)^2, s1^11")#1012#true
AbstractRotaryPolytope([ 11, 22 ], "s2*s1^-1*s2^-1*s1^4*s2*s1^-1*s2, s1^11")#1012#true
AbstractRotaryPolytope([ 11, 22 ], "s2*s1^-1*s2*s1^3*s2^-1*s1*s2*s1^-1, s1^11")#1012#true
AbstractRotaryPolytope([ 11, 22 ], "s1^11, s1*s2^-1*s1^-1*s2*s1^3*s2^-1*s1^-3*s2, s1^-3*s2^-1*s1^4*s2*s1^-1*s2^-1*s1*s2*s1^-1")#1012#true
AbstractRotaryPolytope([ 11, 22 ], "s1^-1*s2*s1^-5*s2^2*s1^-1*s2, s1^11, s1^-2*s2*s1^4*s2*s1^-1*s2^-1*s1*s2")#1012#true
