Size,IsPolytopal
AbstractRotaryPolytope([ 10, 205 ], "(s1*s2^-2*s1^2)^2, ((s1*s2^-1)^2*s1)^2, s2*s1*s2^-6*s1^-1*s2^5*s1^-1*s2^-8*s1^-1*s2^4*s1^-1*(s2^-2*s1*s2*s1^-1*s2^-2)^2*s1^2*s2^-2*s1^-1*s2^5, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#9020#true
AbstractRotaryPolytope([ 10, 205 ], "(s1*s2^-2*s1^2)^2, ((s1*s2^-1)^2*s1)^2, s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-4*s2*s1, s2*s1*(s2^-2*s1*s2*s1^-1)^4*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2^2*(s2*s1^-1*s2^-3*s1)^2*s2^2*s1^-1*s2^-6*s1*s2*s1^-1*s2^-4*s1*s2")#9020#true
AbstractRotaryPolytope([ 205, 10 ], "s1^-22*s2^-1*s1^7*s2*s1^-1*s2^-1*s1^5*s2^-1*s1^-6, (s1*s2^-1*s1^3)^2, s1*s2^2*s1^-1*s2*s1^2*s2^-2*s1^-1*s2*s1")#9020#true
AbstractRotaryPolytope([ 205, 10 ], "(s1^-1*s2*s1^-2*s2)^2*s2*s1^2*s2, (s1*s2^-2*s1*s2^-1)^2, (s1*s2^-1*s1^3)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^4*s2*s1^-22*s2^-1*s1^3*s2*s1^-2*s2^-1*s1^2*s2*s1^-8")#9020#true
RotaryManiplex([ 55, 110 ], "(s2^-1*s1^4*s2^-1)^9*s1, s1*s2^-1*s1*s2^2*s1^2*s2^-1*s1^-2*s2^2, s1^2*(s2*s1^-1)^2*s2^-2*s1*s2^2*s1, s2*s1^6*s2*s1^-4")#9020#false
RotaryManiplex([ 55, 110 ], "(s2^-1*s1^4*s2^-1)^9*s1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*(s2*s1^-1)^2*s2*s1^2*s2^-2*s1^-1*s2*s1^2, s2*s1^6*s2*s1^-4")#9020#false
RotaryManiplex([ 110, 55 ], "s1^-30*s2^5*s1^-20, s1^2*s2^2*s1^4*s2^-1*s1^-4*s2, s1*s2^2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1*s2^-1")#9020#false
RotaryManiplex([ 110, 55 ], "s1^-25*s2^2*s1^-2*(s1^-1*s2)^2*s2^3*s1^-19, s1*s2^-1*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1, (s1*s2^-1*s1^-1*s2^2*s1)^2, s2*s1^-1*s2^-1*s1^6*s2^2*s1^-3")#9020#false
RotaryManiplex([ 205, 410 ], "s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-1*s2*s1, s1^-1*s2*s1*s2^-1*s1^3*s2*s1^-3*s2^-1")#9020#false
RotaryManiplex([ 205, 410 ], "s2*s1*s2^-1*s1^2*s2*s1^-1*s2, s2*s1^5*s2^-1*s1^-5")#9020#false
RotaryManiplex([ 410, 205 ], "s1^-101*(s2^2*s1^-1)^2*(s1^-2*s2)^2*s2*s1^-91, s2*s1^-1*s2*s1^2*s2^-1*s1*s2, s2*s1*s2^-1*s1^3*s2*s1^-2*s2")#9020#false
RotaryManiplex([ 410, 205 ], "s1^-1*s2^-3*s1^-1*s2*s1^-1*s2^-1*s1*s2, s1^-1*s2*s1^5*s2^3, s2^3*s1^-1*s2*s1^-101*s2^2*(s2*s1^-2)^2*s1^-2*s2*s1^-88")#9020#false
AbstractRotaryPolytope([ 4, 4 ], "s1*s2*(s2*s1*s2^-1*s1^-1)^11*s2*(s1*s2^-1)^7*(s1*s2^-1*s1^-1*s2)^8*s1")#9032#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^11*(s2^-1*s1)^12*(s1*s2*s1^-1*s2^-1)^5*s1*s2")#9040#true
AbstractRotaryPolytope([ 4, 4 ], "s1^2*(s2^2*s1^-2)^10*s2^2*(s1*s2^-1)^18*(s1^-2*s2^2)^2")#9040#true
AbstractRotaryPolytope([ 4, 20 ], "s1*(s2^2*s1*s2^-1*s1^-1)^2*(s1^-1*s2)^10*s1*s2^-1*s1^-1*s2^2*s1*s2^-1, (s2*s1^-1*s2^2)^2, s2*s1^2*s2^5*s1*s2^-10*s1*s2^4")#9040#true
AbstractRotaryPolytope([ 20, 4 ], "s1^-1*s2*s1^3*(s2*s1^-1)^5*s1^-1*(s2^-1*s1)^5*s2*(s2*s1^-1)^2*s1^-1*s2^-1*s1^2*s2, (s1*s2^-1*s1^2)^2")#9040#true
AbstractRotaryPolytope([ 4, 452 ], "s1^2*s2*s1^-1*s2^2*s1*s2^-1*s1^-2*s2^2, (s2*s1^-1*s2^2)^2, s2^89*s1*s2^-8*s1*s2^2*s1^-1*s2^-5*s1^-1*s2^2*s1^2*s2^2*s1^-1*s2^-10*s1*s2^5*s1*s2^-100*s1*s2^3")#9040#true
