Size,IsPolytopal
AbstractRotaryPolytope([ 6, 15 ], "(s1*s2^-2)^2, s1*(s1*s2^-1)^2*s1^2*s2^-1*(s1^-2*s2)^2*s1^-3*(s2^-1*s1^2)^3*s2^-1")#4020#true
AbstractRotaryPolytope([ 15, 6 ], "(s1*s2^-1*s1)^2, s2*(s2*s1^-1)^2*(s2*s1^-1*s2^-1*s1)^5*s2^2*s1^-1*s2^-2*s1*s2")#4020#true
RotaryManiplex([ 15, 30 ], "(s2^-1*s1^2*s2^-1)^2*s2^-6*s1, s2*s1^-2*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^3*s1*s2^-1*s1^-2*s2^-1*(s2^-1*s1*s2*s1^-1)^3*s2^-1*s1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#4020#false
RotaryManiplex([ 30, 15 ], "(s1*s2^-1)^4*s1^2*s2^-2*s1^2*s2^-1, s1^2*s2^-1*s1^2*s2*s1^-1*s2*s1^2*s2^-1*(s1^-2*s2)^2*s1^3*s2^-1*s1^-3*s2^-2*s1^-2*s2*s1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#4020#false
AbstractRotaryPolytope([ 3, 6 ], "s2^2*s1^-1*s2^-3*s1*s2^-2*s1^-1*s2*s1^-1*s2^-3*s1^-1*(s2*s1^-1*s2)^8*(s2*s1^-1*s2^-3*s1^-1)^2*(s2*s1^-1*s2)^2*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 6, 3 ], "s2*s1^-3*(s2*s1^-2*s2^-1*s1^2)^2*s2*(s1^-1*s2*s1^-1)^3*s1^-2*(s2^-1*s1^2)^3*s2^-1*s1^-3*s2*s1^-3*(s2^-1*s1^2)^5*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 3, 12 ], "(s2*s1^-1*s2)^4*(s2*(s2*s1^-1)^2*s2)^2*(s2*s1^-1*s2)^2, (s2^2*s1^-1*s2^2)^3")#4032#true
AbstractRotaryPolytope([ 12, 3 ], "s1^-1*(s1^-1*s2)^2*s1^5*s2^-1*s1^-2*s2*s1^-4, (s1^4*s2^-1)^3, s2*s1^3*(s2*s1^-2)^3*s1^-1*(s2^-1*s1^2)^2*s1*s2*s1^-2*s2^-1*s1^2*s2*s1^-2*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 3, 24 ], "(s2*s1^-1)^3*s2^2*(s2^2*(s2*s1^-1)^2)^2*s2^3*s1^-1, s2*s1^-1*s2^6*s1^-1*s2*(s2*s1^-1)^5*s2, (s2^2*s1^-1*s2^2)^3")#4032#true
AbstractRotaryPolytope([ 24, 3 ], "(s1^4*s2^-1)^3, s1^3*s2*s1^-3*s2*s1^2*(s1^2*s2^-1*s1^-2*s2)^2, s2*s1^2*s2^-1*s1^6*s2^-1*s1^2*s2*s1^-4")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "s2^-2*s1*(s1*s2^2*s1^-1*s2^-1)^2*s1*s2^-1, (s1*s2^-1)^6, s2*s1^2*s2^-1*s1*s2^2*s1^-2*(s2^-1*s1)^2*s1^2*s2*s1^-1, s2*s1^2*s2^3*s1^-2*s2^-1*s1^2*s2^-2*s1*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "(s2^-1*s1)^2*s2*s1^-1*s2^-2*s1^2*(s2*s1^-1)^2*s2^-1*s1*s2^-2, s2^-1*s1^2*s2^-1*s1*(s2*s1^-2)^2*s2^-1*s1^2*s2^-1, s1^-1*(s2^-1*s1^2)^2*s2^-1*s1^-3*s2*s1^-2, s1*s2*(s1^-1*s2*s1*s2^-1*s1^-1)^2*s1^-1*s2*s1")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "s1*s2*s1^-1*s2^2*s1^-1*s2^-1*s1*s2^-2, s2*s1^-3*s2*s1^-2*s2^-1*(s1*s2^-1*s1)^5*s1*s2^-1*s1^-3*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "s2^-2*s1*(s2^-1*s1*s2*s1^-1)^4*s2^-1*s1*s2^2*s1^-1*s2^-1*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2^-1, s1^-1*s2^-1*s1^2*s2^-2*s1^-3*s2")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "s2^-1*(s2^-1*s1)^2*s2*(s2*s1^-1*s2^-1*s1)^2*s2*s1^-1*s2^-2*s1*s2^-1, s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1")#4032#true
AbstractRotaryPolytope([ 6, 6 ], "(s2^-1*s1^-1)^2, (s1^-1*s2*s1^3*s2)^2*s2*s1^2*s2^2*s1^2*s2, s1^-1*s2^3*(s1*s2^-1)^2*s2^-1*s1*s2^2")#4032#true
AbstractRotaryPolytope([ 4, 56 ], "s1^2*s2*s1^-1*s2^2*s1*s2^-1*s1^-2*s2^2, (s2*s1^-1)^6, s2*s1^-1*s2^4*s1^2*s2^-1*s1*s2^2, s2^11*s1*s2^-3*s1^-1*s2^3*s1^-1*s2^-1*s1*s2*s1^-1*s2^-3*s1*s2^6*s1^-1*s2^-4*s1*s2*s1^-1*s2^-3*(s2^-2*s1*s2^2*s1^-1)^2*s2^-5*s1*s2^4*s1^-2*s2^3")#4032#true
AbstractRotaryPolytope([ 56, 4 ], "s2*(s1*s2^-1*s1^3)^2*s2")#4032#true
