Size,IsPolytopal
RotaryManiplex([ 308, 308 ], "s2^-88*s1*(s1*s2^-1)^2*s2^-1*s1^2*s2^-3*(s2^-2*s1)^17*s2^-3*s1, s2^-1*s1^-2*s2*s1^-2*(s2^-1*s1)^2*s2^-1*s1^-2*s2^-1, s2^2*s1^4*s2^2")#8008#false
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, ((s2*s1^-1)^2*s1^-1)^2*s2*s1^-1*s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-2, (s2^3*s1^-2)^2")#8020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1^-1*s2*s1*(s1*s2^-1)^2*s1^2*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2, (s2^3*s1^-2)^2")#8020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2*s1^4*s2^-1*s1^-4*s2*s1*s2^-1*s1^-1*s2")#8020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1^4*s2^-2*s1^-1*s2*s1^-5*s2^-1*s1^3*s2^-1*s1^-1*s2*s1^2*s2^-1")#8020#true
RotaryManiplex([ 236, 236 ], "s2^-60*s1*(s1*s2^-1)^3*s1*(s2^-1*s1*s2^-1)^16*s2^-2, s2^-1*s1*s2^-1*(s1^-1*s2*s1^-1)^2*s2^-2*s1*s2^-1*s1^-1*s2*s1, s2^2*s1^4*s2^2")#8024#false
AbstractRotaryPolytope([ 3, 6 ], "(s2*s1^-1*s2)^12*s2*s1*s2^-2*s1^-1*(s2*s1^-1*s2)^4*(s2^2*s1^-1)^10*s2")#8028#true
AbstractRotaryPolytope([ 6, 3 ], "s2*s1^-3*(s2*s1^-2*s2^-1*s1^2)^4*(s2*s1^-2)^4*s1^-1*(s2^-1*s1^2)^13*s2^-1*s1^-3*s2*s1^-1")#8028#true
RotaryManiplex([ 9, 18 ], "(s2^-1*s1^2*s2^-1)^2*s1, s1^-2*s2*(s2*s1*s2^-1*s1^-1)^2*((s2*s1*s2^-1*s1^-1)^2*s2)^2*s1^-1*s2^2*(s1*s2^-1)^2*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2^2*s1*s2^-1*(s2^-1*s1^-1*s2*s1)^3*s2^-1*s1*s2^-1, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#8028#false
RotaryManiplex([ 18, 9 ], "s1^-1*s2*s1*(s1^2*s2*s1^-2*s2^-1)^4*s1^2*s2^-1*s1^3*(s2*s1^-2)^2*s2^-1*(s1*s2*s1^-2*s2^-1*s1)^2*s1*s2, s1^6*s2^-3, s2*(s1^-1*s2^2*s1^-1)^2")#8028#false
AbstractRotaryPolytope([ 6, 30 ], "(s1*s2^-2)^2, s2*s1*(s1*s2*s1^-1*s2^-1)^2*(s1*s2*s1^-2*s2^-1*s1)^2*(s1*s2*s1^-1*s2^-1)^2*s1*s2")#8040#true
AbstractRotaryPolytope([ 6, 30 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s1^2*s2^5*s1*s2^-1*s1^-1*s2^4, s2*s1*s2^-1*s1^-1*s2^2*s1*s2^-2*s1^-1*(s1^-1*s2^-2*(s1^-1*s2)^2)^2*s2*s1^-1*s2^-2*s1*s2")#8040#true
AbstractRotaryPolytope([ 30, 6 ], "(s1*s2^-1*s1)^2, s2*(s2*s1^-1)^2*(s2*s1^-1*s2^-1*s1)^2*s2^2*s1^-1*s2^-1*(s2^-1*s1*s2*s1^-1)^3*s2^-1*s1*s2")#8040#true
AbstractRotaryPolytope([ 30, 6 ], "(s1*s2^-1*s1^4)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*s1^4*s2^-1*s1^-1*s2*s1^3, s2*s1^3*s2*(s1^-1*s2*s1^-1)^2*s1^-2*(s2^-1*s1^2)^3*s2*s1^-1*s2^-1*s1*s2*s1^-1")#8040#true
RotaryManiplex([ 30, 30 ], "(s2^-2*s1*s2^-2)^6, (s2^-1*s1^2)^2*s2*s1^-1*s2^-1*s1*(s2*s1^-1)^2*(s1^-2*s2^-1*s1^2*s2)^2*s1^-1*s2*s1^-1*s2^-1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#8040#false
RotaryManiplex([ 30, 30 ], "(s2^-1*s1^2*s2^-1)^6*s2^-6, s2*s1^-2*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*(s2*s1^-1)^2*s2^-3*s1*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#8040#false
RotaryManiplex([ 804, 804 ], "s2^-208*s1^2*s2^-1*s1*(s2^-1*s1*s2^-1)^62*s2^-2*s1^2, s1*(s2*s1^-1)^2*s2^-2*s1, s2^2*s1^4*s2^2")#8040#false
AbstractRotaryPolytope([ 6, 33 ], "(s1*s2^-2)^2, s1^2*s2^2*s1*s2^-1*s1^-2*s2*(s1^2*s2^-1)^4*(s1^-1*s2*s1*s2^-1)^2*s1^-1*s2")#8052#true
AbstractRotaryPolytope([ 33, 6 ], "(s1*s2^-1*s1)^2, s1*s2*(s2*s1*s2^-1*s1^-1)^3*s2^2*s1^-1*s2*s1^2*s2^-2*(s1*s2^-2*s1^-1*s2)^2*s1")#8052#true
RotaryManiplex([ 33, 66 ], "(s2^-1*s1^2*s2^-1)^8*s1, s2*s1^-2*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*(s2*s1^-1)^2*(s2^-2*s1)^2*s2^2*s1^-1*s2^-2*s1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#8052#false
RotaryManiplex([ 66, 33 ], "(s2^-2*s1*s2^-2)^4*s1^3*s2^-9*s1, s1*s2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^4*s2*s1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#8052#false
RotaryManiplex([ 76, 76 ], "s2^-1*s1*s2^-1*(s1^-1*s2)^2*s1*s2^-1*s1^-1*(s1^-1*s2)^2*s1^2*s2^-1*(s1*s2^-1*s1^-1*s2)^3*s1, s1*s2^-1*s1*(s2^-1*s1*s2^-1)^7*s2^-1*(s2^-1*s1)^3*s2^-2*s1*(s1*s2^-1)^2, s2^2*s1^4*s2^2")#8056#false
AbstractRotaryPolytope([ 10, 65 ], "(s1*s2^-2*s1^2)^2, s1*s2^-1*s1^-1*(s1^-1*s2)^2*s1^2*s2^-1*s1^2*s2*s1^-1*s2*s1, ((s1*s2^-1)^2*s1)^2, s1*s2^4*s1^-2*s2*s1^-1*s2^-1*s1*s2^4*s1*s2^-3")#8060#true
AbstractRotaryPolytope([ 10, 65 ], "(s1*s2^-2*s1^2)^2, ((s1*s2^-1)^2*s1)^2, s1^3*s2*s1^-2*s2*s1^3*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2, s1*s2^5*s1*s2^-1*s1^-3*s2*s1*s2^-1*s1^-1*s2^3*s1*s2^-2")#8060#true
AbstractRotaryPolytope([ 65, 10 ], "(s1*s2^-2*s1*s2^-1)^2, (s1*s2^-1*s1^3)^2, (s1^3*s2^-2)^2*s1^3*s2*s1^-1*s2^-1*s1^3, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#8060#true
AbstractRotaryPolytope([ 65, 10 ], "s1^-4*s2^-1*s1^3*s2^-1*s1^-4*s2^2*s1^-1*s2^-1*s1*s2, (s1*s2^-2*s1*s2^-1)^2, (s1*s2^-1*s1^3)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#8060#true
RotaryManiplex([ 65, 130 ], "(s2^-1*s1^4*s2^-1)^10*s1^5, s1*s2*s1^-1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s2*s1^6*s2*s1^-4")#8060#false
RotaryManiplex([ 65, 130 ], "(s2^-1*s1^4*s2^-1)^10*s1^5, s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2*s1^6*s2*s1^-4")#8060#false
RotaryManiplex([ 130, 65 ], "s1*s2*s1^-1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s2^2*s1^-3*s2^2*s1^-23*s2*(s2*s1^-3)^2*s1^-1*(s1^-1*s2)^2*s1^-21, s2^2*s1^7*s2^2*s1^-3")#8060#false
RotaryManiplex([ 130, 65 ], "s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-1*s2*s1, s1^-27*s2^2*(s1^-3*s2*s1^-1)^2*s1^-3*s2*s1^-22, s2*s1^-1*s2^-1*s1^6*s2^2*s1^-3")#8060#false
AbstractRotaryPolytope([ 3, 12 ], "(s2*s1^-1*s2)^4*(s2*(s2*s1^-1)^2*s2)^2*(s2*s1^-1*s2)^2, s2^2*s1*s2^-5*s1^-1*s2*(s2*s1^-1)^5*s2")#8064#true
AbstractRotaryPolytope([ 3, 12 ], "s2^3*(s1*s2^-2)^2*s1^-1*s2^2*s1^-1*(s2*s1^-1*s2)^10*s2*(s2*s1^-1*s2^2*s1^-1)^2*(s2^2*s1^-1)^2, (s2^5*s1^-1)^2")#8064#true
AbstractRotaryPolytope([ 12, 3 ], "(s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^3*s1*s2^-1*s1^3*s2*s1^-3*s2^-1*s1^-1*(s1^-2*s2)^3*s1^-2*s2^-1*(s1*s2^-1*s1)^2*s1*s2*s1^-2*(s2^-1*s1^2)^3*s1*s2*s1^-1")#8064#true
AbstractRotaryPolytope([ 12, 3 ], "s1^-1*(s1^-1*s2)^2*s1^5*s2^-1*s1^-2*s2*s1^-4, s1^-1*s2*s1^2*s2*(s1^-1*s2*s1^-1)^2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1*(s1^2*s2^-1)^2*s1^2*s2*s1^-1*s2")#8064#true
AbstractRotaryPolytope([ 3, 21 ], "s2^2*s1^-1*(s2*s1^-1*s2^2)^2*s2*s1^-1*s2*(s2*s1^-1*s2^2*s1^-1)^2*s2*s1^-1*s2, (s2^2*s1^-1)^8, (s2^3*s1^-1*s2^2)^3, s2^6*(s2*s1^-1)^7*s2")#8064#true
AbstractRotaryPolytope([ 21, 3 ], "s1^-1*s2^-1*s1^7*s2*s1^-6, (s1*s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-3*s2*s1^2)^2")#8064#true
AbstractRotaryPolytope([ 3, 24 ], "(s2*s1^-1*s2^6*s1^-1)^2, s2^2*s1^-1*s2^3*s1*s2^-1*(s2^-2*s1)^2*s2^-1*s1^-1*(s2*s1^-1*s2)^5*s1^-1*s2, (s2^2*s1^-1*s2^5*s1^-1)^2")#8064#true
AbstractRotaryPolytope([ 3, 24 ], "(s2*s1^-1*s2^6*s1^-1)^2, ((s2^2*s1^-1)^3*s2*s1^-1*s2^3*s1^-1)^2, (s2^2*s1^-1*s2^2)^3")#8064#true
AbstractRotaryPolytope([ 3, 24 ], "(s2^2*s1^-1*s2^5*s1^-1)^2, s2^8*(s2*s1^-1*s2^2*(s2*s1^-1)^2)^2")#8064#true
AbstractRotaryPolytope([ 24, 3 ], "((s1*s2^-1*s1)^2*s1^3)^2, s1*s2*s1^-1*s2*s1^7*(s1^2*s2^-1)^2*s1^-3*s2*s1^2")#8064#true
AbstractRotaryPolytope([ 24, 3 ], "s1^2*s2^-1*s1^3*s2*s1^-2*s2*s1^2*s2^-1*(s1^-2*s2)^2*s1^-3*s2^-1*s1^2*(s2*s1^-1)^2*s1^-1*s2*s1, s1*(s1^4*s2^-1)^2*s1^-7*s2, s1^2*s2*s1^-1*s2*s1^5*s2^-1*s1^-2*s2*s1^4")#8064#true
AbstractRotaryPolytope([ 24, 3 ], "(s1^4*s2^-1)^3, s1^2*s2*s1^-1*s2*s1^5*s2^-1*s1^-2*s2*s1^4, s2*s1^-1*s2*s1*(s1^2*s2^-1)^2*s1^-1*(s1^-2*s2)^2*s1^-3*s2^-1*s1^2*(s2*s1^-1)^2*s1^-2*s2^-1*s1^2")#8064#true
AbstractRotaryPolytope([ 6, 6 ], "s1^-1*s2^2*s1^2*s2*s1^-2*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*(s2*s1^-1)^2*s1^-1, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-2*s2)^3")#8064#true
