Size,IsPolytopal
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^-2*s2^-1*s1*s2")#40#true
AbstractRotaryPolytope([ 4, 4 ], "s1*s2*(s2*s1^-1)^2*s2*s1")#80#true
AbstractRotaryPolytope([ 3, 6 ], "s2^-2*s1*(s2^2*s1^-1)^2")#84#true
AbstractRotaryPolytope([ 6, 3 ], "s1^-1*s2*s1^-3*s2^-1*s1^2*s2")#84#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*s2*s1^-1*s2^-2*s1^2*s2")#104#true
AbstractRotaryPolytope([ 6, 9 ], "s2*s1^-3*s2^-1*s1*s2")#108#true
AbstractRotaryPolytope([ 9, 6 ], "(s1*s2^-1*s1)^2, s2*s1^2*s2*s1^-1*s2^2, s1^9")#108#true
AbstractRotaryPolytope([ 7, 7 ], "s1*s2*s1^-2*s2*s1^2*s2^-1, s1^2*s2^2*s1^-1*s2*s1^2")#112#true
RotaryManiplex([ 12, 12 ], "s2*s1^-2*s2^2*s1^-1")#120#false
AbstractRotaryPolytope([ 4, 4 ], "s1^2*s2*(s2*s1^-1)^3*s2")#136#true
AbstractRotaryPolytope([ 8, 8 ], "s1*s2^-1*s1^-2*(s1^-1*s2)^2")#144#true
AbstractRotaryPolytope([ 3, 6 ], "s2^-2*s1*s2^-2*(s1^-1*s2)^2*s2*s1^-1*s2^-1")#156#true
AbstractRotaryPolytope([ 6, 3 ], "s1^2*s2*s1^-1*s2*s1*(s1^2*s2^-1)^2")#156#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*s2*s1^-1*s2^-1*(s2^-1*s1)^2*s1*s2")#160#true
RotaryManiplex([ 8, 8 ], "s2*s1^-1*s2*s1^2*s2^-1*s1*s2, s2^2*s1^4*s2^2, s2^8")#160#false
RotaryManiplex([ 8, 8 ], "s1*s2^2*s1*(s1*s2^-1)^2, (s1^-1*s2)^2*s1^2*s2^2, s1^8")#160#false
AbstractRotaryPolytope([ 6, 6 ], "(s1*s2^-2)^2,(s1*s2^-1)^2*s1^2*s2^-1*s1^-1*s2*s1")#168#true
AbstractRotaryPolytope([ 6, 6 ], "(s2*s1^-2)^2,s2^6, s1^2*s2^-3*s1*s2^-2*s1^-1*s2")#168#true
AbstractRotaryPolytope([ 4, 4 ], "s1*s2^2*s1*s2^-1*s1^-1*s2*(s1*s2^-1)^2*s1^-1*s2*s1")#200#true
RotaryManiplex([ 20, 20 ], "s1*(s2*s1^-1)^2*s2^-2*s1, s2^2*s1^4*s2^2, (s1^-1*s2)^5")#200#false
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*(s2*s1^-1)^4*s2")#208#true
AbstractRotaryPolytope([ 6, 18 ], "(s1*s2^-2)^2,s2^-1*s1^-1*s2^2*s1^2*s2^2*s1*s2^-1, (s1*s2^-1)^2*s1^-2*(s2^-1*s1)^2")#216#true
AbstractRotaryPolytope([ 18, 6 ], "(s1*s2^-1*s1)^2, s1^2*s2^2*s1^2*s2^-1*s1^-2*s2")#216#true
AbstractRotaryPolytope([ 5, 10 ], "s1*(s2*s1^-1)^2*s1^-1*s2^2*s1")#220#true
AbstractRotaryPolytope([ 5, 10 ], "s2*s1*s2^-1*s1^2*s2*s1^-1*s2")#220#true
AbstractRotaryPolytope([ 10, 5 ], "s1^5*s2^2*s1*s2^-1, s1^10")#220#true
AbstractRotaryPolytope([ 10, 5 ], "s2*s1^4*s2^-1*s1^2*s2, s1^10")#220#true
AbstractRotaryPolytope([ 7, 14 ], "s2^2*s1^-1*(s1^-1*s2)^2, (s1^-1*s2*s1*s2^-1)^2")#224#true
AbstractRotaryPolytope([ 14, 7 ], "s2^-1*s1^2*(s1*s2^-1)^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2")#224#true
RotaryManiplex([ 14, 14 ], "s1*s2*s1^-2*s2*s1^2*s2^-1, s1^2*s2^2*s1^-1*s2*s1^2, (s2^-1*s1*s2^-2)^3*s1^2")#224#false
AbstractRotaryPolytope([ 3, 6 ], "s2^-3*s1*s2^-2*(s1^-1*s2^2)^2*s1^-1*s2*s1^-1")#228#true
AbstractRotaryPolytope([ 6, 3 ], "s1^-2*s2^-1*s1^2*(s2*s1^-2)^2*s2^-1*s1^2*s2")#228#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1^2*s2*s1^-1*s2^-1*(s2^-1*s1)^3*s1*s2")#232#true
AbstractRotaryPolytope([ 4, 12 ], "s1^2*s2^3*s1*s2^-1*s1*s2^2")#240#true
AbstractRotaryPolytope([ 12, 4 ], "(s1*s2^-1*s1^2)^2, s1*s2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1")#240#true
RotaryManiplex([ 12, 12 ], "s2*s1^-1*s2*s1^2*s2^-1*s1*s2, s2^2*s1^4*s2^2, s2^12")#240#false
AbstractRotaryPolytope([ 3, 6 ], "s2^-3*s1*s2^-2*s1^-1*(s2*s1^-1*s2)^2*s2*s1^-1")#252#true
AbstractRotaryPolytope([ 6, 3 ], "s1^2*s2*s1^-1*s2*s1*(s1^2*s2^-1)^3")#252#true
RotaryManiplex([ 9, 18 ], "s2*s1^4*s2*s1^-2, (s2^-1*s1^2*s2^-1)^2*s1, s1^-2*s2^3*s1*s2^-2*s1*s2^-1")#252#false
