Size,IsPolytopal
AbstractRotaryPolytope([ 4, 4 ], "s1*s2*(s2*s1*s2^-1*s1^-1)^6*(s2*s1^-1)^4*s2*(s1^-1*s2*s1*s2^-1)^4*s1^-1*s2*s1")#3016#true
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^3*s1*(s2*s1^-1)^15*s2")#3016#true
RotaryManiplex([ 52, 52 ], "s2*s1^-1*s2^6*s1^-7*s2^3*s1^-1*(s1^-1*s2)^2*s2*s1^-2, s2*s1^2*s2^-1*s1*s2*(s2*s1^-1)^2*s1^-1*(s2^-1*s1)^2*s2^2*s1^2*s2, s2^2*s1^4*s2^2")#3016#false
RotaryManiplex([ 116, 116 ], "s2^-32*s1^3*(s2^-1*s1*s2^-1)^2*s1*(s1*s2^-2)^5*s2^-1, (s2*s1^-1)^2*s2*s1*(s1*s2^-1)^2*s1*s2, s2^2*s1^4*s2^2")#3016#false
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, (s2*s1^-1)^2*s2*s1^2*s2^-2*s1^-2*s2^-2*s1^-1*s2*s1^-2, (s2^3*s1^-2)^2")#3020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1^-1*s2*s1^-1)^2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1*s2^-1*s1*s2, (s1*s2^-2*s1*s2^-1)^2, (s2^3*s1^-2)^2")#3020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*s1^-1*s2*s1^2*s2*s1^-4*s2^-1*s1^4*s2^-1*s1*s2")#3020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, (s1*s2^-1*s1^2)^2*s1*(s1*s2^-1*s1^-1*s2)^2*s1")#3020#true
AbstractRotaryPolytope([ 3, 6 ], "(s2*s1^-1*s2)^6*s1^-1*s2^2*s1^-1*s2^-3*s1*s2^-2*s1^-1*(s2*s1^-1*s2)^2*s2*s1^-1*s2^-3*(s1^-1*s2^2)^4*s1^-1*s2")#3024#true
AbstractRotaryPolytope([ 6, 3 ], "s2*s1^-3*(s2*s1^-2*s2^-1*s1^2)^3*s2*s1^-2*s2^-1*(s1*s2^-1*s1)^2*s1*s2^-1*s1^-3*s2*s1^-3*s2^-1*s1^2*s2^-1*s1^-3*s2*s1^-2*s2^-1*s1^2*s2*s1^-1")#3024#true
AbstractRotaryPolytope([ 3, 9 ], "(s2*s1^-1*s2^3)^2*(s2*s1^-1)^2*(s2*s1^-1*s2)^3*s2, (s2*(s2*s1^-1)^2*s2^3*s1^-1)^2")#3024#true
AbstractRotaryPolytope([ 9, 3 ], "s1*(s2*s1^-1)^2*s1^-1*s2*s1^2*(s1*s2^-1)^2*s1^-2*s2*s1^2, s2*s1^2*s2^-1*s1^4*s2*s1^-4*s2^-1*s1^4*s2*s1^-3*s2*s1^-1")#3024#true
AbstractRotaryPolytope([ 3, 12 ], "s2*s1^-1*((s2*s1^-1*s2)^3*s2)^2*s1^-1*s2^2*s1^-1*s2, (s2^2*s1^-1*s2^2)^3")#3024#true
AbstractRotaryPolytope([ 12, 3 ], "s1^-1*(s1^-1*s2)^2*s1^5*s2^-1*s1^-2*s2*s1^-4, (s1^4*s2^-1)^3, s1^3*s2*s1^-1*s2*(s1^-2*s2*s1^2*(s1*s2^-1)^2)^2*s1^-2*s2")#3024#true
AbstractRotaryPolytope([ 6, 6 ], "s2^-1*s1^2*s2^-1*s1^-2*s2*(s1^2*s2^-1)^2*s1^-1*s2*s1, s1^-1*s2^-1*s1*(s2*s1^-2*s2)^3*s1^-1, s1*s2^2*s1^-2*s2*s1*s2^-1*s1^-1*s2*s1^3*s2^-1, (s2*s1^-1*s2)^3")#3024#true
AbstractRotaryPolytope([ 6, 6 ], "(s1^-1*s2^-1*s1^2*s2^-1*s1*s2)^3, s1^-1*(s1^-1*s2)^2*s1^2*s2^-1*s1^-2*s2*s1^-1, s2^2*s1^-3*s2*s1^-1*s2^-2*s1^3*s2")#3024#true
AbstractRotaryPolytope([ 6, 6 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1*s2^-1*s1^-1*s2*s1*s2^-1, s1*s2^-3*s1^-1*s2*s1^-3*(s2^-1*s1^2)^2*s2^-1")#3024#true
