Size,IsPolytopal
AbstractRotaryPolytope([ 6, 6 ], "s1^-3*s2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^5*s1^-1*s2*s1^-3*(s2^-1*s1^2)^2*s2^-1*s1*s2^-1*s1^-1*s2*(s1^2*s2^-1)^5*s1*s2^-1*s1^-2*s2, (s1*s2^-2)^2")#10008#true
AbstractRotaryPolytope([ 6, 6 ], "s1*s2^-3*s1*s2^-2*s1^-1*(s2*s1*s2^-1*s1^-1*s2)^2*s1*s2^-1*(s2^-1*s1^-1*s2*s1)^4*(s2^-1*s1)^2*s2^2*(s1*s2^-1)^2*s2^-1*s1^-1*s2*s1*s2^-1*s1^-1*s2^2*s1*s2^-2*s1^-1*((s2*s1*s2^-1*s1^-1)^2*s2)^2*s1*s2^-2*s1^-1*s2*s1, (s2*s1^-2)^2")#10008#true
AbstractRotaryPolytope([ 6, 6 ], "s1^-2*(s1^-1*s2)^2*s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-1*(s1^-2*s2)^3*s1^-3*s2^-1*s1^2*s2^-1*s1^-2*s2*(s1^2*s2^-1)^2*s1^-2*s2, (s1*s2^-3*s1^-1*s2*s1)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-2*s2)^3")#10008#true
AbstractRotaryPolytope([ 6, 6 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, (s1*s2^-1)^2*s2^-2*s1*s2^-1*s1^-1*s2*s1*s2^-2*(s1^-1*s2^2)^3*s1*(s2^-1*s1*s2^-1)^2*s2^-2*s1^-1*s2*(s2*s1*s2^-1*s1^-1)^2*s2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1")#10008#true
RotaryManiplex([ 18, 18 ], "(s2^-1*s1^2*s2^-1)^3*s2^-6, s1*s2^-1*s1*s2^3*s1*s2^-2*s1^-1*s2*(s2*s1*s2^-1*s1^-1)^6*s1^-1*s2^-3*s1^-1*s2^2*s1*s2^-1*s1^-1*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#10008#false
RotaryManiplex([ 18, 18 ], "(s2^-2*s1*s2^-2)^3*s1^3, s1^3*s2*s1^-1*s2*s1*(s1*s2^-1)^2*s1^-1*s2*s1^2*s2^-1*s1^-1*(s1^-2*s2)^2*s1*(s1^2*s2^-1)^2*s1^-2*(s1^-1*s2)^2*s1^2*s2^-1*s1^-2*s2, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#10008#false
AbstractRotaryPolytope([ 4, 4 ], "s2*s1*(s1*s2*s1^-1*s2^-1)^11*s1*s2*(s2*s1^-1)^2*(s1^-1*s2^-1*s1*s2)^12")#10016#true
RotaryManiplex([ 8, 8 ], "s1^-1*s2*s1*(s1*s2^-1)^7*s1^2*(s2*s1^-1)^4*s1^-1*(s2^-1*s1)^2*s1*(s2*s1^-1)^2*s2^-1*(s2^-1*s1)^8*s1*s2, s2^2*s1^4*s2^2")#10016#false
AbstractRotaryPolytope([ 8, 8 ], "(s1*s2^-2*s1)^2, (s1*s2^-1)^4, (s1*s2^-1*s1^2)^2*s1^2*s2*s1*(s1^3*s2^-1)^2*s1^-1*s2")#10016#true
AbstractRotaryPolytope([ 8, 8 ], "(s1*s2^-2*s1)^2, (s1*s2^-1)^4, s1*(s1^2*s2^-1)^2*s1^-3*s2*s1^-4*(s2^-1*s1^3)^2*s2^-1, s2*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-2*s2^-1*s1*(s1*s2*s1^-1*s2^-1)^2*s1*s2")#10016#true
RotaryManiplex([ 8, 8 ], "s1^-1*s2*s1*(s1*s2^-1)^7*s1^2*(s2*s1^-1)^4*s1^-1*(s2^-1*s1)^3*s1*s2*s1^-1*s2^-1*(s2^-1*s1)^8*s1*s2, s2^2*s1^4*s2^2")#10016#false
AbstractRotaryPolytope([ 6, 33 ], "(s1*s2^-2)^2, s2*s1^2*s2*s1^-2*s2^-1*s1^2*(s2*s1^-2)^2*s1^-1*(s2^-1*s1^2)^2*s2^-1*s1^-3*(s2*s1^-1*s2^-1*s1)^2*s2")#10032#true
AbstractRotaryPolytope([ 33, 6 ], "s2^-1*s1*s2^-3*(s1^-1*s2^2)^3*s1^-1*s2*s1^-1*s2^-2*(s2^-1*s1^-1*s2*s1)^3*s1*s2^-1, (s1*s2^-1*s1)^2")#10032#true
AbstractRotaryPolytope([ 6, 132 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s1*s2^-6*s1^-1*s2^2*s1^-1*s2^-2*s1^-1*s2^3*s1*(s1*s2*s1^-1*s2^-1)^2*s2^-2*(s2^-2*s1^-2)^2*s2^-2*s1^-1*s2^6*s1^-1*(s2^-2*s1^-2*s2^-2)^2*s2^-1*s1^-1*s2*s1*s2^-1*s1^-1*s2^2, s2*s1^2*s2*s1^-1*(s2^-1*s1*s2*s1^-1*s2^-1*s1)^2*s2^2*s1^-1")#10032#true
AbstractRotaryPolytope([ 6, 132 ], "s1^-1*s2^-3*s1^-1*s2^18*s1^-1*s2^-11*s1^-1*s2^3*s1^-1*s2^-1*s1*s2^2*s1^-2*s2^3*s1^-1*s2^-1*s1*s2^2, (s1*s2^-2)^2, s1^2*s2*(s2*s1*s2^-1*s1^-1)^2*s1^-1*s2*s1*(s1^2*s2^-1)^4")#10032#true
AbstractRotaryPolytope([ 132, 6 ], "s1^-3*s2^-1*s1^6*s2^-2*s1^2*s2*s1^-2*s2^-1*s1^23*s2*s1^-1*s2^-1*s1^4*s2*s1^-1*s2^-1*s1*s2*s1^-1, (s1*s2^-1*s1)^2, s2*s1^2*s2^2*s1^-1*s2^3*(s1*s2^-2)^3*s1*s2^-1*s1*s2*s1^-1*s2^-1*s1*s2")#10032#true
AbstractRotaryPolytope([ 132, 6 ], "s1^-19*s2*s1^9*s2*s1^-11*s2^-1*s1^2*s2*s1^-3, s1^-1*s2*s1^-2*s2*s1^3*s2^-1*s1*s2*s1^-1*s2^-1*s1^2*s2, (s1*s2^-1*s1^4)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1")#10032#true
AbstractRotaryPolytope([ 12, 66 ], "s2^-1*s1*s2^2*s1^-1*s2^-1*s1*s2^5*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2*(s2*s1^-1*s2^-1*s1)^2*s2^2*s1^-1*s2^-1*s1^-2*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2, s2*s1^-1*s2*(s1^-2*s2*s1^-1)^2*s1^-1, s2*s1*(s1*s2*s1^-1*s2^-1)^2*s1*s2^-2*s1*s2^3*s1^-1")#10032#true
AbstractRotaryPolytope([ 12, 66 ], "(s2^-2*s1*s2^-2)^2*s1^2, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2*s1^2*s2^2*s1^-1*s2^-2*s1*s2*s1^-1*s2^-1*s1*s2^2*(s2^2*s1^-1*s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^3*s1^-1*s2^-1*s1*s2, s2*s1^2*s2^2*s1^3*s2*s1^-3*(s2^-1*s1^2)^2*s1*s2*s1^-2*s2^-1*s1*(s2*s1^-1)^2, s2^2*s1^5*s2^2*s1^-1")#10032#true
AbstractRotaryPolytope([ 66, 12 ], "s1*(s2^-1*s1^2*s2^-1)^2*s1^3, s1^2*s2^-2*s1^4*s2*s1^-3*s2^2*s1^-7*s2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2, s2^2*s1^3*s2^-1*s1*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#10032#true
AbstractRotaryPolytope([ 66, 12 ], "s1^-1*s2*s1^-2*s2*s1^3*s2^-1*s1*s2*s1^-1*s2^-1*s1^2*s2, (s1*s2^-1*s1^4)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^5*s2*s1^-13*s2^-1*s1^4*s2")#10032#true
RotaryManiplex([ 12, 132 ], "s2^-1*s1*s2^2*s1*s2^-1*s1^-1*s2^5*s1^-1*s2^-3*s1^-1*s2^2*s1*s2^-3*(s2^-1*s1^-1*s2*s1)^2*s2^-1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*(s1^-2*s2)^2*s1^-1*s2*s1^-2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2*s1*(s1*s2*s1^-1*s2^-1)^2*s1*s2^-2*s1*s2^3*s1^-1")#10032#false
RotaryManiplex([ 12, 132 ], "(s2^-2*s1*s2^-2)^2*s1^2, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2*s1^-1*s2*s1*s2^-1*(s1^-2*s2)^2*s1*(s1^2*s2^-1)^2*s1*s2^-1*s1^-2*s2^-2*s1^-2, s2*s1*(s1*s2*s1^-1*s2^-1)^2*s2^-2*s1^-2*s2^-1*s1*s2^2*s1^-1*s2^-4*s1*s2^4*s1^-1*s2^-2*s1*s2^2, s2^2*s1^5*s2^2*s1^-1")#10032#false
RotaryManiplex([ 132, 12 ], "(s1*s2^-1*s1^4)^2, s1^2*s2^2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2*s1^-2*s2*s1^5*s2^-1*s1^-1*s2*s1^8*s2*s1^-1*s2^-1*s1^4, s1*s2*s1^-1*s2*(s1^2*s2^-1)^2*s1^-3*s2^2*s1")#10032#false
